Source	Target
AHR	ARID3A
AHR	ATF2
AHR	ATF4
AHR	BHLHE40
AHR	BHLHE41
AHR	CTCF
AHR	DBP
AHR	E2F5
AHR	EGR1
AHR	EGR3
AHR	EGR4
AHR	FGF9
AHR	FOXD1
AHR	FOXH1
AHR	FOXO1
AHR	FOXP1
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	HOXB9
AHR	IKZF2
AHR	IRF1
AHR	IRF2
AHR	IRF4
AHR	JUN
AHR	JUND
AHR	KLF11
AHR	KLF12
AHR	MAFF
AHR	MAFG
AHR	MECOM
AHR	MEF2C
AHR	MYB
AHR	MYC
AHR	NFKB1
AHR	NFKB2
AHR	NKX3-2
AHR	NR3C1
AHR	NRF1
AHR	OAZ1
AHR	POU2F1
AHR	PPARA
AHR	RELA
AHR	RFX1
AHR	RUNX3
AHR	SMAD2
AHR	SREBF1
AHR	STAT5B
AHR	TEF
AHR	TFDP1
AHR	TOPORS
AHR	UBP1
AHR	USF2
AHR	YY1
AHR	ZBTB16
AHR	ZBTB7A
AHR	ZEB1
AHR	ZFP161
AHR	ZFX
AHR	ZNF219
AHR	ZNF263
AIRE	ARID5B
AIRE	E2F5
AIRE	NR3C1
AIRE	TCF3
ALX4	HMBOX1
ALX4	IRF2
ALX4	IRF8
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	BHLHE40
AR	BHLHE41
AR	EGR1
AR	HMBOX1
AR	JUN
AR	JUND
AR	NR6A1
AR	PURA
AR	RFX1
AR	RREB1
AR	RXRB
AR	SMAD2
AR	TEF
AR	TGIF1
AR	ZNF350
ARID5B	ARNT
ARID5B	ATF1
ARID5B	ATF4
ARID5B	BARHL1
ARID5B	BPTF
ARID5B	CEBPB
ARID5B	DEAF1
ARID5B	E2F1
ARID5B	EPAS1
ARID5B	ESR2
ARID5B	EVX1
ARID5B	FGF9
ARID5B	FOXH1
ARID5B	GFI1
ARID5B	GTF2A1
ARID5B	HES1
ARID5B	HINFP
ARID5B	HOXB7
ARID5B	HOXB8
ARID5B	IRF3
ARID5B	MAFA
ARID5B	MAX
ARID5B	NFATC1
ARID5B	NFE2L2
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	PRDM1
ARID5B	RELB
ARID5B	RUNX1
ARID5B	SMAD7
ARID5B	TEF
ARID5B	TLX2
ARID5B	TP53
ARID5B	USF2
ARID5B	ZBTB7B
ARID5B	ZFP161
ARID5B	ZFX
ARNT	ARID3A
ARNT	BHLHE40
ARNT	BHLHE41
ARNT	BPTF
ARNT	CTCF
ARNT	CUX1
ARNT	DBP
ARNT	DEAF1
ARNT	DLX2
ARNT	EGR1
ARNT	EGR3
ARNT	EGR4
ARNT	ESR2
ARNT	FGF9
ARNT	FOXH1
ARNT	FOXO1
ARNT	FOXP1
ARNT	GATA4
ARNT	GTF2A1
ARNT	GZF1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HOXA1
ARNT	HOXB3
ARNT	HOXB4
ARNT	HOXB7
ARNT	HOXB8
ARNT	HOXB9
ARNT	IKZF2
ARNT	IRF1
ARNT	IRF9
ARNT	JUN
ARNT	KLF11
ARNT	KLF12
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MECOM
ARNT	MEF2C
ARNT	MYB
ARNT	MYBL2
ARNT	MYC
ARNT	NFATC3
ARNT	NFKB1
ARNT	NFKB2
ARNT	NKX3-2
ARNT	NR3C1
ARNT	NRF1
ARNT	OAZ1
ARNT	PAX5
ARNT	PKNOX1
ARNT	POU2F1
ARNT	PPARA
ARNT	PURA
ARNT	RELB
ARNT	RFX5
ARNT	RUNX3
ARNT	SMAD2
ARNT	STAT5B
ARNT	TFDP1
ARNT	TGIF1
ARNT	TGIF2
ARNT	TOPORS
ARNT	UBP1
ARNT	USF2
ARNT	ZBTB16
ARNT	ZBTB7A
ARNT	ZFP161
ARNT2	ARID3A
ARNT2	CTCF
ARNT2	EGR3
ARNT2	EGR4
ARNT2	FOXO1
ARNT2	HLF
ARNT2	HOXB9
ARNT2	IKZF2
ARNT2	IRF1
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MECOM
ARNT2	NFKB1
ARNT2	RUNX3
ARNT2	STAT5B
ARNT2	TFDP1
ARNT2	ZBTB16
ARNT2	ZFP161
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	BHLHE41
ATF1	CDC5L
ATF1	CEBPB
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	ERF
ATF1	FOSL1
ATF1	FOXD3
ATF1	FOXP1
ATF1	GLI1
ATF1	GTF2A1
ATF1	HLF
ATF1	HOXC10
ATF1	ING4
ATF1	IRX5
ATF1	JUNB
ATF1	JUND
ATF1	KLF11
ATF1	KLF4
ATF1	MAF
ATF1	MAFF
ATF1	MYC
ATF1	NF1
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TFCP2
ATF1	TGIF2
ATF1	TRIM28
ATF1	YY1
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	ERF
ATF2	FOSL1
ATF2	FOXP1
ATF2	GLI1
ATF2	GTF2A1
ATF2	HLF
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAF
ATF2	MAFF
ATF2	MYC
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TRIM28
ATF2	YY1
ATF2	ZNF143
ATF3	BACH2
ATF3	BARX1
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	FOXD3
ATF3	FOXP1
ATF3	GLI1
ATF3	HLF
ATF3	HOXC10
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAF
ATF3	MAFF
ATF3	MYC
ATF3	NF1
ATF3	NFATC1
ATF3	NR4A2
ATF3	NR6A1
ATF3	ONECUT1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SPI1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TGIF2
ATF3	TRIM28
ATF3	YY1
ATF4	BACH2
ATF4	CDC5L
ATF4	CEBPB
ATF4	CTCF
ATF4	FOXJ3
ATF4	FOXP1
ATF4	GLI1
ATF4	GTF2I
ATF4	GZF1
ATF4	HLF
ATF4	HOXC10
