Source	Target
AHR	ARID3A
AHR	ATF2
AHR	BHLHE40
AHR	CEBPA
AHR	CEBPG
AHR	CTCF
AHR	DBP
AHR	DLX4
AHR	E2F5
AHR	EGR1
AHR	EGR4
AHR	FOXP1
AHR	GTF2A1
AHR	GTF2I
AHR	HBP1
AHR	HLF
AHR	HMGA1
AHR	HOXA6
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	JUND
AHR	MAFF
AHR	MAFG
AHR	MEF2C
AHR	NEUROD1
AHR	NFKB1
AHR	NFKB2
AHR	NR3C1
AHR	NR4A2
AHR	NRF1
AHR	PARP1
AHR	POU2F1
AHR	PPARA
AHR	RELA
AHR	RFX1
AHR	RREB1
AHR	SMAD2
AHR	SOX10
AHR	SP4
AHR	SREBF1
AHR	T
AHR	TBX18
AHR	TFDP1
AHR	TGIF2
AHR	UBP1
AHR	USF2
AHR	YY1
AHR	ZBTB16
AHR	ZFP161
AHR	ZFX
AHR	ZNF219
AHR	ZNF263
AHR	ZNF589
AIRE	ARID5B
AIRE	ETS2
AIRE	NR3C1
AIRE	STAT4
AIRE	TCF3
ALX1	EMX2
ALX4	EMX2
ALX4	ESR2
ALX4	HMBOX1
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	ATF4
AR	BHLHE40
AR	GABPB1
AR	HMBOX1
AR	JUND
AR	NR5A1
AR	NR6A1
AR	PATZ1
AR	PURA
AR	RXRB
AR	TOPORS
ARID5B	ARNT
ARID5B	ATF1
ARID5B	ATF4
ARID5B	BARHL1
ARID5B	DMRT2
ARID5B	FOSL1
ARID5B	FOXD3
ARID5B	FOXO3
ARID5B	HES1
ARID5B	HINFP
ARID5B	HOXA6
ARID5B	HOXA7
ARID5B	LEF1
ARID5B	LMO2
ARID5B	MAFG
ARID5B	MAX
ARID5B	MTERF
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	PRDM1
ARID5B	RFX1
ARID5B	RUNX1
ARID5B	SMAD7
ARID5B	SOX21
ARID5B	SPI1
ARID5B	STAT5A
ARID5B	TEF
ARNT	ARID3A
ARNT	BHLHE40
ARNT	BPTF
ARNT	CEBPA
ARNT	CTCF
ARNT	CUX1
ARNT	DBP
ARNT	DLX2
ARNT	DLX4
ARNT	EGR1
ARNT	EGR4
ARNT	ESRRA
ARNT	FOXD3
ARNT	FOXP1
ARNT	GTF2A1
ARNT	GTF2I
ARNT	GZF1
ARNT	HBP1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HMGA1
ARNT	HMGA2
ARNT	HOXA1
ARNT	HOXA6
ARNT	HOXA7
ARNT	HOXA9
ARNT	HOXB3
ARNT	HOXB4
ARNT	IKZF2
ARNT	IRF9
ARNT	JUN
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEF2C
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NFKB1
ARNT	NFKB2
ARNT	NR3C1
ARNT	NR4A2
ARNT	NRF1
ARNT	PKNOX1
ARNT	POU2F1
ARNT	PPARA
ARNT	PURA
ARNT	RELB
ARNT	RFX5
ARNT	SMAD2
ARNT	SP4
ARNT	SREBF1
ARNT	TBX18
ARNT	TFAP4
ARNT	TFDP1
ARNT	TGIF2
ARNT	TOPORS
ARNT	UBP1
ARNT	USF2
ARNT	YY1
ARNT	ZBTB16
ARNT	ZFP161
ARNT	ZNF589
ARNT2	ARID3A
ARNT2	CEBPA
ARNT2	CTCF
ARNT2	DLX4
ARNT2	EGR4
ARNT2	GTF2I
ARNT2	HLF
ARNT2	HOXA6
ARNT2	IKZF2
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	NEUROD1
ARNT2	NFKB1
ARNT2	NR4A2
ARNT2	SREBF1
ARNT2	TBX18
ARNT2	TFDP1
ARNT2	TGIF2
ARNT2	USF2
ARNT2	YY1
ARNT2	ZBTB16
ARNT2	ZFP161
ARNT2	ZNF589
ATF1	ARX
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	ERF
ATF1	FOSL1
ATF1	FOXP1
ATF1	GATA2
ATF1	GTF2A1
ATF1	HLF
ATF1	HOXC10
ATF1	ING4
ATF1	IRF7
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	KLF4
ATF1	MAF
ATF1	MAFF
ATF1	MAFG
ATF1	NF1
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TCF3
ATF1	TFCP2
ATF1	TFDP1
ATF1	TGIF2
ATF1	TRIM28
ATF1	YY1
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	ERF
ATF2	FOSL1
ATF2	FOXP1
ATF2	GATA2
ATF2	GTF2A1
ATF2	HLF
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAF
ATF2	MAFF
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TOPORS
ATF2	TRIM28
ATF2	YY1
ATF2	ZNF143
ATF3	ATF4
ATF3	BACH2
ATF3	BARHL1
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	DLX4
ATF3	EGR4
ATF3	FOXO4
ATF3	FOXP1
ATF3	GATA2
ATF3	GATA3
ATF3	HLF
ATF3	HOXC10
ATF3	ING4
ATF3	IRF8
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAF
ATF3	MAFF
ATF3	NF1
ATF3	NR4A2
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SPI1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TGIF2
ATF3	TRIM28
ATF3	YY1
ATF4	BACH2
ATF4	CDC5L
ATF4	CEBPB
ATF4	CTCF
ATF4	CUX1
ATF4	EGR4
ATF4	FOXJ3
ATF4	FOXP1
ATF4	GATA2
ATF4	GZF1
ATF4	HLF
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF12
ATF4	KLF15
ATF4	KLF4
ATF4	MAF
ATF4	MAFB
ATF4	MAFF
ATF4	MAFG
ATF4	MZF1
ATF4	NF1
ATF4	NR1H2
ATF4	NR4A2
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
