Source	Target
AHR	ATF2
AHR	ATF4
AHR	BHLHE40
AHR	CTCF
AHR	DBP
AHR	E2F5
AHR	EGR1
AHR	EGR4
AHR	ELK4
AHR	FOXG1
AHR	FOXH1
AHR	FOXP1
AHR	GTF2A1
AHR	GTF2I
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	HMGA1
AHR	IKZF2
AHR	IRF1
AHR	IRF2
AHR	IRF4
AHR	JUN
AHR	KLF11
AHR	MAFF
AHR	MAFG
AHR	MEF2C
AHR	MEIS2
AHR	MYB
AHR	MYC
AHR	NEUROD1
AHR	NFKB1
AHR	NFKB2
AHR	NKX3-2
AHR	NR3C1
AHR	NRF1
AHR	PARP1
AHR	PPARA
AHR	RELA
AHR	RFX1
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	T
AHR	TFDP1
AHR	TGIF2
AHR	UBP1
AHR	USF2
AHR	YY1
AHR	ZEB1
AHR	ZFP161
AHR	ZFX
AHR	ZNF219
AHR	ZNF263
AIRE	ARID5B
AIRE	MYC
AIRE	NR3C1
AIRE	TCF3
ALX4	EGR2
ALX4	HMBOX1
ALX4	IRF2
ALX4	IRF8
ALX4	JUN
ALX4	RB1
ALX4	TCF7
ALX4	UBP1
AR	BHLHE40
AR	BRF1
AR	EGR1
AR	ELF5
AR	HMBOX1
AR	NR6A1
AR	PURA
AR	RXRB
AR	SOX9
AR	ZBTB7B
ARID5B	ARID3A
ARID5B	ARNT
ARID5B	ARX
ARID5B	ATF1
ARID5B	ATF3
ARID5B	ATF4
ARID5B	BARHL1
ARID5B	BPTF
ARID5B	EGR2
ARID5B	FOSL1
ARID5B	FOXD3
ARID5B	FOXN2
ARID5B	GTF2A1
ARID5B	HES1
ARID5B	HINFP
ARID5B	HMBOX1
ARID5B	HOXB7
ARID5B	HOXB8
ARID5B	IRF2
ARID5B	IRF3
ARID5B	JUN
ARID5B	MAX
ARID5B	NEUROD1
ARID5B	NFE2L2
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	PRDM1
ARID5B	PURA
ARID5B	RUNX1
ARID5B	SMAD7
ARID5B	SPI1
ARID5B	TCF3
ARID5B	TEF
ARID5B	TP53
ARID5B	ZBTB7B
ARNT	BHLHE40
ARNT	BPTF
ARNT	CTCF
ARNT	CUX1
ARNT	DBP
ARNT	DEAF1
ARNT	DLX2
ARNT	EGR1
ARNT	EGR4
ARNT	ELK4
ARNT	ESRRA
ARNT	FOXD3
ARNT	FOXG1
ARNT	FOXH1
ARNT	FOXP1
ARNT	GTF2A1
ARNT	GTF2I
