Source	Target
AHR	ATF2
AHR	ATOH1
AHR	BARHL2
AHR	DBP
AHR	DLX4
AHR	EBF2
AHR	EGR1
AHR	EGR3
AHR	EN2
AHR	FOXH1
AHR	GATA4
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	HMGA1
AHR	HOXD12
AHR	HOXD13
AHR	IKZF1
AHR	IKZF2
AHR	MAFB
AHR	MAFF
AHR	MAFG
AHR	MEIS2
AHR	MNX1
AHR	NEUROD1
AHR	NKX3-2
AHR	PAX3
AHR	POU3F3
AHR	RELA
AHR	RFX1
AHR	SIX3
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	T
AHR	TFDP1
AHR	YY1
AHR	ZNF219
AHR	ZNF589
AIRE	NR3C1
AIRE	TCF3
ALX1	EMX2
ALX1	HBP1
ALX1	NR1H4
ALX1	SOX2
ALX1	TFAP2C
ALX3	FOXJ1
ALX3	HBP1
ALX4	EBF2
ALX4	EMX2
ALX4	EPAS1
ALX4	FOXD3
ALX4	HMBOX1
ALX4	HOXA1
ALX4	IRF2
ALX4	JUN
ALX4	NR1H4
ALX4	RB1
ALX4	TFAP2C
ALX4	UBP1
AR	BHLHE40
AR	BHLHE41
AR	ELF5
AR	HMBOX1
AR	ISL1
AR	LMO2
AR	NR6A1
AR	PAX6
AR	PAX7
AR	PURA
AR	RXRB
AR	SIX6
AR	TGIF1
AR	ZBTB7B
AR	ZNF628
ARID5B	ARID3A
ARID5B	ATF1
ARID5B	ATF4
ARID5B	DMRT1
ARID5B	EGR2
ARID5B	EN2
ARID5B	EOMES
ARID5B	FOSL1
ARID5B	FOXD3
ARID5B	FOXO3
ARID5B	HINFP
ARID5B	HMBOX1
ARID5B	HNF1B
ARID5B	HOXA7
ARID5B	HOXC13
ARID5B	HOXD1
ARID5B	NEUROD1
ARID5B	NKX3-2
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	OVOL2
ARID5B	PAX4
ARID5B	PRDM1
ARID5B	SMAD7
ARID5B	TEF
ARID5B	TFAP4
ARID5B	ZBTB7A
ARID5B	ZBTB7B
ARID5B	ZFP42
ARNT	ATOH1
ARNT	BPTF
ARNT	DBP
ARNT	DLX2
ARNT	DLX4
ARNT	EBF2
ARNT	EGR1
ARNT	EGR3
ARNT	ELF3
ARNT	EN2
ARNT	FOXD3
ARNT	GATA4
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HMGA1
ARNT	HOXA1
ARNT	HOXA7
ARNT	HOXB3
ARNT	HOXB4
ARNT	HOXC13
ARNT	IKZF1
ARNT	IKZF2
ARNT	IRF9
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MEIS2
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NFIB
ARNT	NKX3-2
ARNT	PAX3
ARNT	RELB
ARNT	RFX5
ARNT	SIX3
ARNT	SMAD2
ARNT	SOX2
ARNT	SP4
ARNT	SREBF1
ARNT	T
ARNT	TFAP4
