Source	Target
AHR	ARID3A
AHR	ATF2
AHR	BHLHE40
AHR	CEBPB
AHR	CTCF
AHR	DBP
AHR	DLX4
AHR	EGR1
AHR	ELK4
AHR	FOXF1
AHR	FOXP1
AHR	GATA6
AHR	GLI3
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	HOXB3
AHR	HOXB4
AHR	HOXB7
AHR	HOXB8
AHR	HOXC8
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	MAFF
AHR	MAFG
AHR	MEIS2
AHR	NEUROD1
AHR	NFKB1
AHR	NR3C1
AHR	NRF1
AHR	RFX1
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	TBX18
AHR	VDR
AHR	YY1
AHR	ZFP161
AHR	ZNF219
AHR	ZNF263
AHR	ZNF589
AIRE	TCF3
ALX1	BRCA1
ALX3	HES1
ALX4	EPAS1
ALX4	HMBOX1
ALX4	HOXA3
ALX4	HOXB6
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	BHLHE40
AR	BRCA1
AR	CEBPD
AR	ESR2
AR	FOXO1
AR	GABPB1
AR	HMBOX1
AR	HOXB3
AR	HOXB4
AR	HOXB7
AR	HOXB8
AR	NFE2L1
AR	NFIB
AR	NR6A1
AR	RXRB
AR	SOX9
AR	TGIF1
AR	ZBTB7B
ARID5B	ARID3A
ARID5B	ATF1
ARID5B	ATF4
ARID5B	EGR2
ARID5B	FOSL1
ARID5B	FOXL1
ARID5B	FOXO3
ARID5B	HINFP
ARID5B	HOXB6
ARID5B	HOXB7
ARID5B	HOXB8
ARID5B	MAFG
ARID5B	MAX
ARID5B	NFE2L1
ARID5B	NFIL3
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	POU3F2
ARID5B	SMAD7
ARID5B	TP53
ARID5B	ZBTB7A
ARID5B	ZBTB7B
ARNT	ARID3A
ARNT	BHLHE40
ARNT	BPTF
ARNT	CTCF
ARNT	DBP
ARNT	DLX2
ARNT	DLX4
ARNT	EGR1
ARNT	ELK4
ARNT	FOXP1
ARNT	GATA6
ARNT	GLI3
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HOXA1
ARNT	HOXB3
ARNT	HOXB4
ARNT	HOXB5
ARNT	HOXB7
ARNT	HOXB8
ARNT	HOXC8
ARNT	IKZF2
ARNT	IRF9
ARNT	JUN
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEIS2
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NFKB1
ARNT	NR3C1
ARNT	NRF1
ARNT	RELB
ARNT	SMAD2
ARNT	SP4
ARNT	SREBF1
ARNT	TBX18
ARNT	TOPORS
ARNT	VDR
ARNT	ZFP161
ARNT	ZNF589
ARNT2	ARID3A
ARNT2	CTCF
ARNT2	DLX4
ARNT2	ELK4
ARNT2	GATA6
ARNT2	GLI3
ARNT2	HLF
ARNT2	IKZF2
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MEIS2
ARNT2	NEUROD1
ARNT2	NFKB1
ARNT2	SREBF1
ARNT2	TBX18
ARNT2	VDR
ARNT2	ZFP161
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	ERF
ATF1	FOSL1
ATF1	FOXJ1
ATF1	FOXP1
ATF1	GTF2A1
ATF1	HAND2
ATF1	HLF
ATF1	HOXC10
ATF1	ING4
ATF1	IRF7
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	KLF4
ATF1	MAF
ATF1	MAFF
ATF1	MAFG
ATF1	NF1
ATF1	NFIL3
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TFCP2
ATF1	TFDP1
ATF1	TGIF2
ATF1	TRIM28
ATF1	ZNF143
ATF1	ZNF628
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	ERF
ATF2	FOSL1
ATF2	FOXP1
ATF2	GTF2A1
ATF2	HLF
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAF
ATF2	MAFF
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TRIM28
ATF2	ZNF143
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	CEBPB
ATF3	DLX4
ATF3	EGR4
ATF3	ERF
ATF3	FOXF1
ATF3	FOXP1
ATF3	HLF
ATF3	HOXC10
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAF
ATF3	MAFF
ATF3	NF1
ATF3	NR4A2
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TGIF2
ATF3	TRIM28
ATF4	BACH2
ATF4	CDC5L
ATF4	CEBPB
ATF4	CTCF
ATF4	EGR4
ATF4	ERF
ATF4	FOXJ3
ATF4	FOXP1
ATF4	GABPB1
ATF4	GZF1
ATF4	HLF
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF15
ATF4	KLF4
ATF4	MAF
ATF4	MAFB
ATF4	MAFF
ATF4	MAFG
ATF4	MZF1
ATF4	NF1
ATF4	NR1H2
ATF4	NR4A2
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
ATF4	REST
ATF4	RFX1
ATF4	SMAD1
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	TCF3
ATF4	TFCP2
ATF4	TGIF2
ATF4	TRIM28
ATF5	BACH2
ATF5	BCL6
ATF5	CDC5L
ATF5	EGR1
ATF5	EGR4
ATF5	ERF
ATF5	ETS2
ATF5	FOXO3
ATF5	GLIS3
ATF5	HLF
ATF5	HOXC10
ATF5	ING4
ATF5	IRX3
ATF5	IRX5
ATF5	ISL1
ATF5	KLF11
ATF5	KLF12
ATF5	MAF
ATF5	MAFF
ATF5	NF1
ATF5	NR2C2
ATF5	NR4A2
ATF5	NR6A1
ATF5	NRF1
ATF5	OAZ1
ATF5	PITX1
ATF5	PITX2
ATF5	RARA
ATF5	RELB
ATF5	RFX1
