Source	Target
AHR	ARID3A
AHR	ATF2
AHR	CTCF
AHR	DBP
AHR	DLX4
AHR	EGR1
AHR	EGR4
AHR	FOXA1
AHR	FOXP1
AHR	GLI3
AHR	GLIS1
AHR	GTF2A1
AHR	GTF2I
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	HOXC8
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	MAFB
AHR	MAFF
AHR	MAFG
AHR	MEIS2
AHR	MTF1
AHR	MYC
AHR	NEUROD1
AHR	NFKB1
AHR	NR2F2
AHR	NRF1
AHR	PPARA
AHR	RELA
AHR	RFX1
AHR	SIX4
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	TFDP1
AHR	TGIF1
AHR	USF2
AHR	VDR
AHR	YY1
AHR	ZNF219
AHR	ZNF589
AIRE	ARID5B
AIRE	ETS2
AIRE	TCF3
ALX1	BRCA1
ALX1	EOMES
ALX1	GTF2IRD1
ALX1	TBP
ALX3	HES1
ALX3	HMGA2
ALX4	EPAS1
ALX4	GTF2IRD1
ALX4	HMBOX1
ALX4	IRF2
ALX4	IRX4
ALX4	JUN
ALX4	RB1
ALX4	TCF7
ALX4	UBP1
AR	ATF4
AR	BHLHE40
AR	CEBPD
AR	ELF5
AR	HMBOX1
AR	IRF6
AR	LMO2
AR	NR6A1
AR	RXRB
AR	SOX9
AR	TGIF1
AR	ZNF628
ARID5B	ARID3A
ARID5B	ATF1
ARID5B	ATF4
ARID5B	BARHL1
ARID5B	FOSL1
ARID5B	FOXA2
ARID5B	FOXD3
ARID5B	FOXO3
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	HMBOX1
ARID5B	JUNB
ARID5B	MAFF
ARID5B	MAFG
ARID5B	MAX
ARID5B	MTERF
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	PAX4
ARID5B	POU3F2
ARID5B	PRDM1
ARID5B	SIX4
ARID5B	SMAD7
ARID5B	TP53
ARID5B	ZFP161
ARNT	ARID3A
ARNT	BHLHE41
ARNT	BPTF
ARNT	CTCF
ARNT	CUX1
ARNT	DBP
ARNT	DLX2
ARNT	DLX4
ARNT	EGR1
ARNT	EGR4
ARNT	ELF3
ARNT	FOXA1
ARNT	FOXD3
ARNT	FOXP1
ARNT	GLI3
ARNT	GTF2A1
ARNT	GTF2I
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HOXA1
ARNT	HOXC8
ARNT	IKZF2
ARNT	IRF9
ARNT	JUN
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEIS2
ARNT	MYC
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NFKB1
ARNT	NR2F2
ARNT	NRF1
ARNT	PPARA
ARNT	RELB
ARNT	SIX4
ARNT	SMAD2
ARNT	SP4
ARNT	TFAP4
ARNT	TFDP1
ARNT	TGIF1
ARNT	TOPORS
ARNT	USF2
ARNT	VDR
ARNT	ZNF589
ARNT2	ARID3A
ARNT2	CTCF
ARNT2	DLX4
ARNT2	EGR4
ARNT2	FOXA1
ARNT2	GLI3
ARNT2	GTF2I
ARNT2	HLF
ARNT2	IKZF2
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MEIS2
ARNT2	NEUROD1
ARNT2	NFKB1
ARNT2	NR2F2
ARNT2	SIX4
ARNT2	TFDP1
ARNT2	VDR
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	ERF
ATF1	FOSL1
ATF1	FOXD3
ATF1	FOXP1
ATF1	GTF2A1
ATF1	HLF
ATF1	HOXC10
ATF1	ING4
ATF1	IRF6
ATF1	IRF7
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	KLF4
ATF1	MAF
ATF1	MAFF
ATF1	MAFG
ATF1	MYC
ATF1	MYOG
ATF1	NF1
ATF1	NFIL3
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SMAD7
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TFCP2
ATF1	TGIF2
ATF1	TRIM28
ATF1	YY1
ATF1	ZNF143
ATF1	ZNF628
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	ERF
ATF2	FOSL1
ATF2	FOXD3
ATF2	FOXP1
ATF2	GTF2A1
ATF2	HLF
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAF
ATF2	MAFF
ATF2	MYC
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SMAD7
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TRIM28
ATF2	YY1
ATF2	ZNF143
ATF3	ATF4
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	CEBPB
ATF3	DLX4
ATF3	EGR4
ATF3	EOMES
ATF3	ERF
ATF3	FOXD3
ATF3	FOXP1
ATF3	HLF
ATF3	HOXC10
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAF
ATF3	MAFF
ATF3	MYC
ATF3	NF1
ATF3	NR2F6
ATF3	NR4A2
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SMAD7
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TGIF2
ATF3	TRIM28
ATF3	XBP1
ATF3	YY1
ATF4	BACH2
ATF4	CDC5L
ATF4	CEBPB
ATF4	CTCF
ATF4	EGR4
ATF4	ERF
ATF4	FOXD3
ATF4	FOXJ3
ATF4	FOXP1
ATF4	GZF1
ATF4	HLF
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF15
ATF4	KLF4
ATF4	MAF
ATF4	MAFB
ATF4	MAFF
ATF4	MYC
ATF4	MZF1
ATF4	NF1
ATF4	NR1H2
ATF4	NR4A2
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
ATF4	RFX1
ATF4	SMAD7
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	STAT4
ATF4	TCF3
ATF4	TFAP2C
ATF4	TFCP2
ATF4	TGIF2
ATF4	TRIM28
ATF4	YY1
ATF5	BACH2
ATF5	CDC5L
ATF5	EGR1
ATF5	EGR4
ATF5	ERF
ATF5	ETS2
