Source	Target
AHR	ARID3A
AHR	ATF2
AHR	CEBPB
AHR	CTCF
AHR	E2F5
AHR	EGR1
AHR	ELK4
AHR	FOXH1
AHR	FOXP1
AHR	GLIS1
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	HOXC10
AHR	HOXC11
AHR	HOXC8
AHR	IKZF2
AHR	IRF1
AHR	IRF2
AHR	JUN
AHR	JUND
AHR	KLF11
AHR	MAFF
AHR	MAFG
AHR	MEF2C
AHR	MEIS2
AHR	MYC
AHR	NEUROD1
AHR	NR2F2
AHR	NRF1
AHR	PAX3
AHR	PPARA
AHR	RELA
AHR	RFX1
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	TEF
AHR	TFDP1
AHR	USF2
AHR	VDR
AHR	YY1
AHR	ZNF219
AHR	ZNF589
AIRE	ARID5B
AIRE	TCF3
ALX1	EMX2
ALX4	EMX2
ALX4	HMBOX1
ALX4	HOXA9
ALX4	JUN
ALX4	RB1
ALX4	TCF7
ALX4	UBP1
AR	BHLHE40
AR	GABPB1
AR	HAND2
AR	HMBOX1
AR	ISL1
AR	KLF15
AR	NFATC4
AR	NR6A1
AR	RXRB
AR	TEF
AR	TGIF1
ARID5B	ATF1
ARID5B	ATF4
ARID5B	FOXO3
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	HOXA6
ARID5B	HOXA7
ARID5B	JUNB
ARID5B	MAFG
ARID5B	MAX
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	POU3F2
ARID5B	PRDM1
ARID5B	SMAD7
ARID5B	TEF
ARID5B	ZBTB7B
ARNT	ARID3A
ARNT	BPTF
ARNT	CTCF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	ELF3
ARNT	ELK4
ARNT	ESRRA
ARNT	FOXH1
ARNT	FOXP1
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HOXA1
ARNT	HOXA7
ARNT	HOXA9
ARNT	HOXC10
ARNT	HOXC11
ARNT	HOXC8
ARNT	IKZF2
ARNT	IRF1
ARNT	IRF9
ARNT	JUN
ARNT	KLF11
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEF2C
ARNT	MEIS2
ARNT	MYC
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NR2F2
ARNT	PAX3
ARNT	PKNOX1
ARNT	PPARA
ARNT	RELB
ARNT	SMAD2
ARNT	SP4
ARNT	SREBF1
ARNT	TFAP4
ARNT	TFDP1
ARNT	TOPORS
ARNT	USF2
ARNT	VDR
ARNT	ZNF589
ARNT2	ARID3A
ARNT2	CTCF
ARNT2	ELK4
ARNT2	FOXH1
ARNT2	HLF
ARNT2	HOXC10
ARNT2	IKZF2
ARNT2	IRF1
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MEIS2
ARNT2	NEUROD1
ARNT2	NR2F2
ARNT2	SREBF1
ARNT2	TFDP1
ARNT2	VDR
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	FOSL1
ATF1	FOXD3
ATF1	FOXP1
ATF1	GATA2
ATF1	GTF2A1
ATF1	HOXC10
ATF1	ING4
ATF1	IRF6
ATF1	IRF7
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	MAFF
ATF1	MYC
ATF1	NF1
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TCF3
ATF1	TFCP2
ATF1	TFDP1
ATF1	TRIM28
ATF1	YY1
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	FOSL1
ATF2	FOXD3
ATF2	FOXP1
ATF2	GATA2
ATF2	GTF2A1
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAFF
ATF2	MYC
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TBX5
ATF2	TFCP2
ATF2	TRIM28
ATF2	YY1
ATF2	ZNF143
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	CEBPB
ATF3	EGR4
ATF3	FOXD3
ATF3	FOXF1
ATF3	FOXO4
ATF3	FOXP1
ATF3	GATA2
ATF3	HOXC10
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAFF
ATF3	MYC
ATF3	NF1
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TRIM28
ATF3	YY1
ATF4	BACH2
ATF4	CDC5L
ATF4	CEBPB
ATF4	CTCF
ATF4	EGR4
ATF4	FOXD3
ATF4	FOXP1
ATF4	GATA2
ATF4	GZF1
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	MAFB
ATF4	MAFF
ATF4	MYC
ATF4	MZF1
ATF4	NF1
ATF4	NR1H2
ATF4	NR4A2
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
ATF4	RFX1
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	STAT4
ATF4	TCF3
ATF4	TFAP2C
ATF4	TFCP2
ATF4	TRIM28
ATF4	YY1
ATF5	BACH2
ATF5	CDC5L
ATF5	EGR1
ATF5	EGR4
ATF5	FOXD3
ATF5	GATA2
ATF5	GLIS3
ATF5	HOXC10
ATF5	ING4
ATF5	IRX5
ATF5	KLF11
ATF5	MAFF
ATF5	MYC
ATF5	NF1
ATF5	NR6A1
ATF5	OAZ1
ATF5	RARA
ATF5	RELB
ATF5	RFX1
ATF5	SP1
ATF5	SREBF1
ATF5	STAT3
ATF5	TFCP2
ATF5	TRIM28
ATF5	XBP1
ATF6	BACH2
ATF6	CDC5L
ATF6	EGR4
ATF6	FOXD3
ATF6	GATA2
ATF6	HOXC10
ATF6	ING4
ATF6	IRX5
ATF6	KLF11
ATF6	MAFF
ATF6	MYC
ATF6	NF1
ATF6	NR6A1
ATF6	RELB
ATF6	RFX1
ATF6	SREBF1
ATF6	STAT3
ATF6	TFCP2
ATF6	TRIM28
ATF7	BACH2
ATF7	CDC5L
ATF7	EGR4
ATF7	FOXD3
ATF7	GATA2
ATF7	HOXC10
