Source	Target
AHR	ATF2
AHR	CTCF
AHR	DBP
AHR	E2F5
AHR	EGR1
AHR	EGR4
AHR	ELK4
AHR	FOXH1
AHR	FOXJ3
AHR	FOXO3
AHR	FOXP1
AHR	GLI3
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	HOXA6
AHR	HOXD13
AHR	IRF1
AHR	IRF2
AHR	JUN
AHR	JUND
AHR	KLF11
AHR	MAFB
AHR	MAFF
AHR	MAFG
AHR	MEF2C
AHR	MEIS2
AHR	MYC
AHR	NEUROD1
AHR	NR2F2
AHR	NR3C1
AHR	NRF1
AHR	PARP1
AHR	PPARA
AHR	RELA
AHR	RFX1
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	STAT5B
AHR	TBX18
AHR	TOPORS
AHR	USF2
AHR	VDR
AHR	YY1
AHR	ZFP161
AHR	ZNF219
AHR	ZNF263
AHR	ZNF589
AIRE	ARID5B
AIRE	NFIB
AIRE	NR3C1
AIRE	TCF3
ALX1	BRCA1
ALX1	E2F1
ALX1	ERG
ALX3	E2F1
ALX3	HES1
ALX3	HMGA2
ALX3	NR2F2
ALX4	EPAS1
ALX4	FOXC1
ALX4	HMBOX1
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	BHLHE40
AR	CEBPD
AR	EGR1
AR	ELF5
AR	ERG
AR	ESR2
AR	FOXC1
AR	GABPB1
AR	HMBOX1
AR	HOXB3
AR	HOXB4
AR	IRF6
AR	JUN
AR	KLF15
AR	NFE2L1
AR	NFIB
AR	NR6A1
AR	PURA
AR	RXRB
AR	TGIF1
ARID5B	ARID3A
ARID5B	ATF1
ARID5B	ATF4
ARID5B	BARHL1
ARID5B	BPTF
ARID5B	EGR2
ARID5B	EN2
ARID5B	EPAS1
ARID5B	FOSL1
ARID5B	FOXL1
ARID5B	FOXO3
ARID5B	HES1
ARID5B	HINFP
ARID5B	HOXA6
ARID5B	HOXA7
ARID5B	HOXB6
ARID5B	HOXB7
ARID5B	HOXB8
ARID5B	HOXD1
ARID5B	MAFG
ARID5B	MAX
ARID5B	NFIL3
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	POU3F2
ARID5B	SIX4
ARID5B	SMAD7
ARID5B	TEF
ARID5B	TP53
ARNT	BHLHE41
ARNT	BPTF
ARNT	CTCF
ARNT	CUX1
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	EGR4
ARNT	ELK4
ARNT	ESRRA
ARNT	FOXD3
ARNT	FOXH1
ARNT	FOXO3
ARNT	FOXP1
ARNT	GLI3
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HMGA2
ARNT	HOXA1
ARNT	HOXA6
ARNT	HOXA7
ARNT	HOXA9
ARNT	HOXB3
ARNT	HOXB4
ARNT	HOXB7
ARNT	HOXB8
ARNT	HOXD13
ARNT	IRF1
ARNT	IRF9
ARNT	JUN
ARNT	KLF11
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEF2C
ARNT	MEIS2
ARNT	MYC
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NR2F2
ARNT	NR3C1
ARNT	NRF1
ARNT	PKNOX1
ARNT	PPARA
ARNT	RELA
ARNT	RELB
ARNT	RFX5
ARNT	SMAD2
ARNT	SP4
ARNT	STAT5B
ARNT	TBX18
ARNT	TFAP4
ARNT	TGIF1
ARNT	TOPORS
ARNT	USF2
ARNT	VDR
ARNT	ZFP161
ARNT	ZNF589
ARNT2	CTCF
ARNT2	EGR4
ARNT2	ELK4
ARNT2	FOXH1
ARNT2	GLI3
ARNT2	HLF
ARNT2	HOXA6
ARNT2	HOXD13
ARNT2	IRF1
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MEIS2
ARNT2	NEUROD1
ARNT2	NR2F2
ARNT2	STAT5B
ARNT2	TBX18
ARNT2	VDR
ARNT2	ZFP161
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	ERF
ATF1	FOSL1
ATF1	FOXD3
ATF1	FOXP1
ATF1	GATA2
ATF1	GATA6
ATF1	GTF2A1
ATF1	HLF
ATF1	HOXC10
ATF1	ING4
ATF1	IRF7
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	KLF4
ATF1	MAF
ATF1	MAFF
ATF1	MYC
ATF1	NF1
ATF1	NFIL3
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TCF3
ATF1	TFCP2
ATF1	TFDP1
ATF1	TGIF2
ATF1	TRIM28
ATF1	YY1
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	ERF
ATF2	FOSL1
ATF2	FOXD3
ATF2	FOXP1
ATF2	GATA2
ATF2	GTF2A1
ATF2	HLF
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAF
ATF2	MAFF
ATF2	MYC
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TRIM28
ATF2	YY1
ATF2	ZNF143
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	DLX4
ATF3	EGR4
ATF3	ERF
ATF3	FOXD3
ATF3	FOXO4
ATF3	FOXP1
ATF3	GATA2
ATF3	HLF
ATF3	HOXC10
ATF3	ING4
ATF3	IRF6
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAF
ATF3	MAFF
ATF3	MYC
ATF3	NF1
ATF3	NFATC1
ATF3	NR4A2
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TGIF2
ATF3	TRIM28
ATF3	XBP1
ATF3	YY1
ATF4	BACH2
ATF4	CDC5L
ATF4	CEBPB
ATF4	CTCF
ATF4	EGR4
ATF4	ERG
ATF4	FLI1
ATF4	FOXD3
ATF4	FOXJ3
ATF4	FOXP1
ATF4	GABPB1
ATF4	GATA2
ATF4	GZF1
ATF4	HLF
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF12
ATF4	KLF15
ATF4	KLF4
ATF4	MAF
ATF4	MAFB
ATF4	MAFF
ATF4	MAFG
ATF4	MYC
ATF4	MZF1
ATF4	NF1
ATF4	NR1H2
