Source	Target
AHR	ATF2
AHR	BHLHE41
AHR	CEBPB
AHR	CEBPG
AHR	CTCF
AHR	DBP
AHR	E2F5
AHR	EGR1
AHR	FOXF1
AHR	GLI3
AHR	GLIS1
AHR	GTF2A1
AHR	GTF2IRD1
AHR	HBP1
AHR	HES1
AHR	HIC1
AHR	HLF
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	MAFB
AHR	MAFF
AHR	MAFG
AHR	MEF2C
AHR	MEIS2
AHR	MYC
AHR	NEUROD1
AHR	NR2F1
AHR	NR2F2
AHR	NR3C1
AHR	NR4A1
AHR	NRF1
AHR	PARP1
AHR	RELA
AHR	RFX1
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	TFDP1
AHR	TGIF1
AHR	UBP1
AHR	USF2
AHR	VDR
AHR	YY1
AHR	ZEB1
AHR	ZNF219
AHR	ZNF589
AIRE	ARID5B
AIRE	NR3C1
AIRE	TCF3
ALX1	UBP1
ALX3	HMGA2
ALX4	EPAS1
ALX4	FOXC1
ALX4	HMBOX1
ALX4	HOXA3
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	TBX5
ALX4	UBP1
AR	BHLHE40
AR	CEBPD
AR	EGR1
AR	GABPB1
AR	HMBOX1
AR	HOXB3
AR	HOXB4
AR	JUND
AR	KLF15
AR	NFE2L1
AR	NFIB
AR	NR6A1
AR	PURA
AR	RXRB
AR	SOX4
AR	SOX9
AR	TGIF1
AR	ZBTB7B
AR	ZNF628
ARID5B	ATF1
ARID5B	ATF4
ARID5B	BARHL1
ARID5B	FOXL1
ARID5B	FOXO3
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	HMBOX1
ARID5B	HOXA6
ARID5B	HOXA7
ARID5B	HOXB7
ARID5B	HOXB8
ARID5B	IRF2
ARID5B	JUNB
ARID5B	MAFG
ARID5B	MAX
ARID5B	NFE2L1
ARID5B	NFIL3
ARID5B	NR4A1
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	PRDM1
ARID5B	RUNX1
ARID5B	SIX4
ARID5B	TBX5
ARID5B	TEF
ARID5B	ZBTB7B
ARNT	BHLHE41
ARNT	BPTF
ARNT	CTCF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	ESRRA
ARNT	FOXD3
ARNT	GTF2A1
ARNT	GTF2IRD1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIC1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HMGA2
ARNT	HOXA1
ARNT	HOXA3
ARNT	HOXA7
ARNT	HOXA9
ARNT	HOXB3
ARNT	HOXB4
ARNT	HOXB5
ARNT	HOXB7
ARNT	HOXB8
ARNT	IKZF2
ARNT	IRF9
ARNT	JUN
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEF2C
ARNT	MEIS2
ARNT	MYC
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NR2F1
ARNT	NR2F2
ARNT	NR3C1
ARNT	NRF1
ARNT	PKNOX1
ARNT	RELB
ARNT	SMAD2
ARNT	SP4
ARNT	SREBF1
ARNT	TFDP1
ARNT	TOPORS
ARNT	UBP1
ARNT	USF2
ARNT	VDR
ARNT	ZNF589
ARNT2	CTCF
ARNT2	HIC1
ARNT2	HLF
ARNT2	IKZF2
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MEIS2
ARNT2	NEUROD1
ARNT2	NR2F2
ARNT2	SREBF1
ARNT2	TFDP1
ARNT2	USF2
ARNT2	VDR
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	ERF
ATF1	FOSL1
ATF1	FOXP1
ATF1	GTF2A1
ATF1	HAND2
ATF1	HLF
ATF1	HOXC10
ATF1	ING4
ATF1	IRF7
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	KLF4
ATF1	MAF
ATF1	MAFF
ATF1	MAFG
ATF1	MYC
ATF1	NF1
ATF1	NFIL3
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SMAD3
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TCF3
ATF1	TFCP2
ATF1	TFDP1
ATF1	TRIM28
ATF1	YY1
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	ERF
ATF2	FOSL1
ATF2	FOXP1
ATF2	GTF2A1
ATF2	HLF
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAF
ATF2	MAFF
ATF2	MYC
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TBX5
ATF2	TFCP2
ATF2	TRIM28
ATF2	YY1
ATF2	ZNF143
ATF3	BACH2
ATF3	BARHL1
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	CEBPB
ATF3	EGR4
ATF3	ERF
ATF3	FOXF1
ATF3	FOXO4
ATF3	FOXP1
ATF3	HLF
ATF3	HOXC10
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAF
ATF3	MAFF
ATF3	MYC
ATF3	NF1
ATF3	NR4A2
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TRIM28
ATF3	XBP1
ATF3	YY1
ATF4	BACH2
ATF4	CDC5L
ATF4	CEBPB
ATF4	CTCF
ATF4	EGR4
ATF4	FOXJ3
ATF4	FOXP1
ATF4	GZF1
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF12
ATF4	KLF15
ATF4	KLF4
ATF4	MAF
ATF4	MAFB
ATF4	MAFF
ATF4	MAFG
ATF4	MYC
ATF4	MZF1
