Source	Target
AHR	ARID3A
AHR	ATF2
AHR	BHLHE40
AHR	CEBPB
AHR	CEBPG
AHR	CTCF
AHR	DBP
AHR	DLX2
AHR	EGR1
AHR	FOXF1
AHR	FOXF2
AHR	FOXP1
AHR	GLIS1
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	MAFB
AHR	MAFF
AHR	MAFG
AHR	MEF2C
AHR	MEIS2
AHR	MYC
AHR	NEUROD1
AHR	NR2F2
AHR	NR4A1
AHR	NR5A2
AHR	NRF1
AHR	RELA
AHR	RFX1
AHR	RUNX1
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	TFDP1
AHR	TGIF1
AHR	UBP1
AHR	VDR
AHR	YY1
AHR	ZNF219
AHR	ZNF589
AIRE	ARID5B
AIRE	ATF6
AIRE	DLX1
AIRE	NR3C1
AIRE	STAT4
AIRE	TCF3
ALX1	UBP1
ALX3	BHLHE41
ALX3	HMGA2
ALX3	NR2F2
ALX4	DLX2
ALX4	EPAS1
ALX4	FOXC1
ALX4	HMBOX1
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	ATF4
AR	BHLHE40
AR	CEBPD
AR	DLX1
AR	DLX2
AR	EGR1
AR	GABPB1
AR	HMBOX1
AR	JUND
AR	NFE2L1
AR	NR6A1
AR	RXRB
AR	SOX9
AR	TEF
AR	TGIF1
ARID5B	ATF1
ARID5B	ATF4
ARID5B	DLX5
ARID5B	FOSL1
ARID5B	FOXO3
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	HMBOX1
ARID5B	MAFF
ARID5B	MAFG
ARID5B	MAX
ARID5B	NFE2L1
ARID5B	NR4A1
ARID5B	NR6A1
ARID5B	RUNX1
ARID5B	ZBTB7B
ARNT	ARID3A
ARNT	BHLHE40
ARNT	BPTF
ARNT	CTCF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	FOXD3
ARNT	FOXP1
ARNT	GLIS1
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HMGA2
ARNT	IKZF2
ARNT	IRF9
ARNT	JUN
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEF2C
ARNT	MEIS2
ARNT	MYC
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NR2F2
ARNT	NR5A2
ARNT	PKNOX1
ARNT	RELB
ARNT	RUNX1
ARNT	SMAD2
ARNT	SP4
ARNT	SREBF1
ARNT	TFDP1
ARNT	TOPORS
ARNT	UBP1
ARNT	VDR
ARNT	ZNF589
ARNT2	ARID3A
ARNT2	CTCF
ARNT2	DLX2
ARNT2	IKZF2
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MEIS2
ARNT2	NEUROD1
ARNT2	NR2F2
ARNT2	NR5A2
ARNT2	SREBF1
ARNT2	TFDP1
ARNT2	VDR
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	ERF
ATF1	FOSL1
ATF1	FOXP1
ATF1	GTF2A1
ATF1	HOMEZ
ATF1	HOXC10
ATF1	ING4
ATF1	IRF7
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	KLF4
ATF1	MAF
ATF1	MAFF
ATF1	MAFG
ATF1	MYC
ATF1	NF1
ATF1	NFIL3
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SMAD3
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TFCP2
ATF1	TLX2
ATF1	TRIM28
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	ERF
ATF2	FOSL1
ATF2	FOXP1
ATF2	GTF2A1
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAF
ATF2	MAFF
ATF2	MYC
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TLX2
ATF2	TRIM28
ATF2	ZNF143
ATF3	ATF4
ATF3	BACH2
ATF3	BARX1
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	EGR4
ATF3	ERF
ATF3	FOXF1
ATF3	FOXO4
ATF3	FOXP1
ATF3	HOMEZ
ATF3	HOXC10
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAF
ATF3	MAFF
ATF3	MYC
ATF3	NF1
ATF3	NR4A2
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TLX2
ATF3	TRIM28
ATF3	XBP1
ATF4	BACH2
ATF4	CDC5L
ATF4	CTCF
ATF4	EGR4
ATF4	ERF
ATF4	FOXJ3
ATF4	FOXP1
ATF4	GZF1
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF12
ATF4	KLF4
ATF4	MAF
ATF4	MAFB
ATF4	MAFF
ATF4	MAFG
ATF4	MYC
ATF4	MZF1
ATF4	NF1
ATF4	NR1H2
ATF4	NR4A2
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
ATF4	RFX1
ATF4	SMAD1
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	STAT4
ATF4	TCF3
ATF4	TFCP2
ATF4	TLX2
ATF4	TRIM28
ATF4	ZEB1
ATF5	BACH2
ATF5	BCL6
ATF5	CDC5L
ATF5	E2F6
ATF5	EGR1
ATF5	EGR4
ATF5	ERF
ATF5	FOXO3
ATF5	GLIS3
ATF5	HOXC10
ATF5	ING4
ATF5	IRX5
ATF5	KLF11
ATF5	KLF4
ATF5	LHX8
ATF5	MAF
ATF5	MAFF
ATF5	MAX
ATF5	MEIS2
ATF5	MYC
ATF5	NF1
ATF5	NR2C2
ATF5	NR4A2
ATF5	NR6A1
ATF5	OAZ1
ATF5	PITX1
ATF5	PITX2
ATF5	PRRX1
ATF5	RARA
ATF5	REL
ATF5	RELB
ATF5	RFX1
ATF5	RUNX2
ATF5	SP1
ATF5	SREBF1
ATF5	STAT3
ATF5	TFCP2
ATF5	TLX2
ATF5	TP63
ATF5	TRIM28
ATF5	XBP1
ATF6	BACH2
ATF6	CDC5L
ATF6	EGR4
ATF6	ERF
