Source	Target
AHR	ATF2
AHR	CTCF
AHR	DBP
AHR	EGR1
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	HOXB7
AHR	HOXB8
AHR	HOXC8
AHR	IRF2
AHR	JUN
AHR	NR2F2
AHR	POU3F3
AHR	RFX1
AHR	RUNX1
AHR	SP4
AHR	VDR
AHR	YY1
AHR	ZNF219
AHR	ZNF589
AIRE	ETS2
AIRE	TCF3
ALX1	EMX2
ALX1	STAT1
ALX3	HES1
ALX3	HMGA2
ALX4	EMX2
ALX4	EPAS1
ALX4	HMBOX1
ALX4	HOXA3
ALX4	JUN
ALX4	RB1
ALX4	STAT1
ALX4	UBP1
AR	BHLHE40
AR	CEBPD
AR	ELF3
AR	ESR2
AR	HMBOX1
AR	NFE2L1
AR	NR6A1
AR	RXRB
AR	TGIF1
ARID5B	ELF3
ARID5B	FOSL1
ARID5B	FOXO3
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	HMBOX1
ARID5B	HOXA6
ARID5B	HOXA7
ARID5B	HOXB6
ARID5B	MAX
ARID5B	NFE2L1
ARID5B	NFIL3
ARID5B	PAX8
ARID5B	RUNX1
ARID5B	ZBTB7B
ARNT	BPTF
ARNT	CTCF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	ELF3
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HOXA1
ARNT	HOXA9
ARNT	HOXB5
ARNT	HOXC8
ARNT	IRF9
ARNT	JUN
ARNT	MAFF
ARNT	MAX
ARNT	NFATC3
ARNT	NR2F2
ARNT	RUNX1
ARNT	SP4
ARNT	TOPORS
ARNT	VDR
ARNT	ZNF589
ARNT2	CTCF
ARNT2	JUN
ARNT2	NR2F2
ARNT2	VDR
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	FOSL1
ATF1	GTF2A1
ATF1	HOXC10
ATF1	ING4
ATF1	IRX5
ATF1	JUND
ATF1	MAF
ATF1	MAFF
ATF1	NF1
ATF1	NFIL3
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	TFCP2
ATF1	TRIM28
ATF1	ZNF143
ATF1	ZNF628
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	FOSL1
ATF2	GTF2A1
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	MAF
ATF2	MAFF
ATF2	NF1
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TRIM28
ATF2	ZNF143
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	CEBPB
ATF3	FOXO4
ATF3	HOXC10
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	MAF
ATF3	MAFF
ATF3	NF1
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TRIM28
ATF4	BACH2
ATF4	CDC5L
ATF4	CEBPB
ATF4	CTCF
ATF4	FOXJ3
ATF4	GABPB1
ATF4	GZF1
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUNB
ATF4	MAF
ATF4	MAFB
ATF4	MAFF
ATF4	MZF1
ATF4	NF1
ATF4	NR1H2
ATF4	NR4A2
ATF4	NR6A1
ATF4	RELB
ATF4	RFX1
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	TFCP2
ATF4	TRIM28
ATF4	ZEB1
ATF5	BACH2
ATF5	CDC5L
ATF5	FOXO3
ATF5	HOXC10
ATF5	HOXD9
ATF5	ING4
ATF5	IRX5
ATF5	MAF
ATF5	MAFF
ATF5	NF1
ATF5	NR6A1
ATF5	OAZ1
ATF5	RARA
ATF5	RELB
ATF5	RFX1
ATF5	SP1
ATF5	SREBF1
ATF5	STAT3
ATF5	TERF1
ATF5	TFCP2
ATF5	TFEC
ATF5	TRIM28
ATF6	BACH2
ATF6	CDC5L
ATF6	HOXC10
ATF6	ING4
ATF6	IRX5
ATF6	MAF
ATF6	MAFF
ATF6	NF1
ATF6	NR6A1
ATF6	RELB
ATF6	RFX1
ATF6	SREBF1
ATF6	STAT3
ATF6	TFCP2
ATF6	TRIM28
ATF7	BACH2
ATF7	CDC5L
ATF7	HOXC10
ATF7	ING4
ATF7	IRX5
ATF7	MAF
ATF7	MAFF
ATF7	NF1
ATF7	NR6A1
ATF7	RELB
ATF7	RFX1
ATF7	SREBF1
ATF7	STAT3
ATF7	TFCP2
ATF7	TRIM28
ATOH1	BACH1
ATOH1	CEBPD
ATOH1	CEBPE
ATOH1	DLX2
ATOH1	GABPB1
ATOH1	HOXA5
ATOH1	HOXA6
ATOH1	NFIL3
ATOH1	SREBF2
ATOH1	SRF
ATOH1	TFAP4
ATOH1	TGIF1
ATOH1	XBP1
BACH1	ATF5
BACH1	BACH1
BACH1	BHLHE40
BACH1	BHLHE41
BACH1	DBP
BACH1	DDIT3
BACH1	DLX1
BACH1	FOXN1
BACH1	GLIS3
BACH1	GTF2A1
BACH1	GTF2IRD1
BACH1	HMGA1
BACH1	HOXA3
BACH1	KLF4
BACH1	LMO2
BACH1	MAFG
BACH1	NEUROD1
BACH1	NFKB2
BACH1	NR2F6
BACH1	PRDM1
BACH1	TFEC
BACH1	ZNF217
BACH2	ATF3
BACH2	ATF5
BACH2	BACH1
BACH2	BHLHE40
BACH2	DBP
BACH2	DDIT3
BACH2	DLX1
BACH2	FOXN1
BACH2	GABPB1
BACH2	GLIS3
BACH2	GTF2A1
BACH2	GTF2IRD1
BACH2	HOXA3
BACH2	KLF4
BACH2	LMO2
BACH2	MAFG
BACH2	NFIL3
BACH2	NFKB2
BACH2	NR2F6
BACH2	PRDM1
BACH2	TFEC
BACH2	TGIF1
BACH2	ZBTB16
BACH2	ZNF217
BARHL1	CNOT3
BARHL1	NFE2L1
BARHL1	SP1
BARHL2	CNOT3
BARX1	BRCA1
BARX1	MAF
BARX2	ARID5B
BARX2	NFE2L2
BCL6	ARNTL2
BCL6	ATF6
BCL6	BCL6
BCL6	BHLHE40
BCL6	EGR1
BCL6	ELF1
BCL6	GTF2A1
BCL6	HOXA3
BCL6	NFIL3
BCL6	PATZ1
BCL6	SMAD1
BCL6	SREBF2
BDP1	CEBPB
BDP1	FOXL1
BDP1	GTF2IRD1
BDP1	TGIF1
BHLHE40	BCL6
BHLHE40	BHLHE40
BHLHE40	ELF3
BHLHE40	FOXO3
BHLHE40	GTF2A1
BHLHE40	HINFP
BHLHE40	HOXA6
BHLHE40	HOXA7
