Source	Target
AHR	ATF2
AHR	BHLHE40
AHR	CEBPB
AHR	CTCF
AHR	DBP
AHR	E2F5
AHR	EGR1
AHR	FOXD1
AHR	FOXP1
AHR	GLIS1
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	HOXC8
AHR	IRF2
AHR	IRX5
AHR	JUN
AHR	LHX4
AHR	MAFF
AHR	MAFG
AHR	MEF2C
AHR	MEIS2
AHR	MYC
AHR	MYOD1
AHR	NRF1
AHR	PARP1
AHR	PAX3
AHR	RELA
AHR	RFX1
AHR	SMAD2
AHR	SP4
AHR	TBX18
AHR	TFDP1
AHR	TGIF1
AHR	VDR
AHR	YY1
AHR	ZEB1
AHR	ZFX
AHR	ZNF219
AHR	ZNF263
AIRE	HOXA10
AIRE	HOXA9
AIRE	MYC
AIRE	NR3C1
AIRE	TCF3
ALX1	MYF6
ALX3	HMGA2
ALX3	MYF6
ALX4	ESR2
ALX4	GABPA
ALX4	HMBOX1
ALX4	HOXA9
ALX4	IRF2
ALX4	JUN
ALX4	MYF6
ALX4	RB1
ALX4	UBP1
AR	BHLHE40
AR	CEBPD
AR	CHURC1
AR	FOXO1
AR	HMBOX1
AR	HOXC11
AR	KLF15
AR	NFE2L1
AR	NFIB
AR	NR6A1
AR	PURA
AR	RXRB
AR	SOX9
AR	TGIF1
AR	ZNF628
ARID5B	ATF1
ARID5B	ATF3
ARID5B	ATF4
ARID5B	FOSL1
ARID5B	FOXO3
ARID5B	HINFP
ARID5B	HMBOX1
ARID5B	HOXA7
ARID5B	HOXB6
ARID5B	HOXB7
ARID5B	HOXB8
ARID5B	HOXC13
ARID5B	MAFG
ARID5B	MAX
ARID5B	NFE2L1
ARID5B	NFIL3
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	POU3F2
ARID5B	RUNX1
ARID5B	TEF
ARID5B	ZBTB7B
ARNT	BHLHE40
ARNT	BHLHE41
ARNT	BPTF
ARNT	CTCF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	FOXP1
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HOXA1
ARNT	HOXA7
ARNT	HOXA9
ARNT	HOXB3
ARNT	HOXB4
ARNT	HOXB7
ARNT	HOXB8
ARNT	HOXC13
ARNT	HOXC8
ARNT	IRF9
ARNT	IRX5
ARNT	JUN
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEF2C
ARNT	MEIS2
ARNT	MYC
ARNT	MYF5
ARNT	NFATC3
ARNT	NRF1
ARNT	PAX3
ARNT	RELB
ARNT	SMAD2
ARNT	SP4
ARNT	TBX18
ARNT	TFDP1
ARNT	TOPORS
ARNT	VDR
ARNT	ZIC1
ARNT	ZIC2
ARNT2	CTCF
ARNT2	IRX5
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MEIS2
ARNT2	TBX18
ARNT2	TFDP1
ARNT2	VDR
ARX	MYF6
ATF1	ARX
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	E2F4
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	ERF
ATF1	FOSL1
ATF1	FOXJ1
ATF1	FOXP1
ATF1	GTF2A1
ATF1	HLF
ATF1	HOXC10
ATF1	ING4
ATF1	IRF7
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	MAFF
ATF1	NF1
ATF1	NFIL3
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
