Source	Target
AHR	ARID3A
AHR	ATF2
AHR	CEBPA
AHR	CEBPG
AHR	CTCF
AHR	DBP
AHR	E2F5
AHR	EGR1
AHR	EGR4
AHR	FOXA1
AHR	FOXP1
AHR	GTF2A1
AHR	GTF2I
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	IKZF2
AHR	IRF2
AHR	JUND
AHR	KLF11
AHR	MAFF
AHR	MAFG
AHR	MEIS2
AHR	MNX1
AHR	MYC
AHR	NR2F6
AHR	NR3C1
AHR	NRF1
AHR	PARP1
AHR	PPARA
AHR	RELA
AHR	RFX1
AHR	RXRA
AHR	SIX4
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	TEF
AHR	TFDP1
AHR	UBP1
AHR	USF2
AHR	YY1
AHR	ZFX
AHR	ZNF219
AHR	ZNF263
AHR	ZNF589
AIRE	ETS2
AIRE	NR3C1
AIRE	TCF3
ALX4	HMBOX1
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	SMAD3
ALX4	UBP1
AR	BHLHE40
AR	EGR1
AR	HMBOX1
AR	KLF15
AR	NR6A1
AR	PURA
AR	RXRB
AR	TEF
AR	XBP1
ARID5B	ATF1
ARID5B	ATF4
ARID5B	EPAS1
ARID5B	FOSL1
ARID5B	FOXA2
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	HOXD1
ARID5B	MAFG
ARID5B	MAX
ARID5B	MNX1
ARID5B	NFE2L2
ARID5B	NR5A1
ARID5B	OAZ1
ARID5B	SMAD7
ARID5B	TEF
ARID5B	ZBTB7A
ARNT	ARID3A
ARNT	BPTF
ARNT	CEBPA
ARNT	CTCF
ARNT	CUX1
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	EGR4
ARNT	ESRRA
ARNT	FOXA1
ARNT	FOXP1
ARNT	GATA4
ARNT	GTF2A1
ARNT	GTF2I
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HMGA2
ARNT	IKZF2
ARNT	IRF9
ARNT	KLF11
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEIS2
ARNT	MYBL2
ARNT	MYC
ARNT	NFATC3
ARNT	NR3C1
ARNT	NR5A1
ARNT	NRF1
ARNT	PKNOX1
ARNT	PPARA
ARNT	PURA
ARNT	RELB
ARNT	SIX4
ARNT	SMAD2
ARNT	SP4
ARNT	SREBF1
ARNT	TFAP4
ARNT	TFDP1
ARNT	TGIF1
ARNT	TGIF2
ARNT	TOPORS
ARNT	UBP1
ARNT	USF2
ARNT	ZNF589
ARNT2	ARID3A
ARNT2	CEBPA
ARNT2	CTCF
ARNT2	EGR4
ARNT2	GTF2I
ARNT2	HLF
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MEIS2
ARNT2	SIX4
ARNT2	SREBF1
ARNT2	TFDP1
ARNT2	USF2
ARNT2	ZNF589
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	CEBPB
ATF1	EGR2
ATF1	ERF
ATF1	FOSL1
ATF1	GATA2
ATF1	GTF2A1
ATF1	HLF
ATF1	ING4
ATF1	JUND
ATF1	KLF11
ATF1	KLF4
ATF1	MAFF
ATF1	MAFG
ATF1	MYC
ATF1	NF1
ATF1	NR6A1
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	TCF3
ATF1	TFCP2
ATF1	TFDP1
ATF1	TGIF2
ATF1	TRIM28
ATF1	YY1
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	ERF
ATF2	GATA2
ATF2	GTF2A1
ATF2	HLF
ATF2	ING4
ATF2	JUND
ATF2	KLF11
ATF2	MAFF
ATF2	MYC
ATF2	NF1
ATF2	NR6A1
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TRIM28
ATF2	YY1
ATF2	ZNF143
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	CEBPB
ATF3	ELF5
ATF3	GATA2
ATF3	HLF
ATF3	ING4
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAFF
ATF3	MYC
ATF3	NF1
ATF3	NR2F6
ATF3	NR6A1
ATF3	ONECUT1
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TGIF2
ATF3	TRIM28
ATF3	YY1
ATF4	BACH2
ATF4	CDC5L
ATF4	CTCF
ATF4	CUX1
ATF4	FOXJ3
ATF4	GATA2
ATF4	GZF1
ATF4	HLF
ATF4	ING4
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF15
ATF4	KLF4
ATF4	MAFB
ATF4	MAFF
ATF4	MAFG
ATF4	MYC
ATF4	MZF1
ATF4	NF1
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
ATF4	RFX1
ATF4	SMAD1
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	TCF3
ATF4	TFCP2
ATF4	TGIF2
ATF4	TRIM28
ATF4	YY1
ATF5	BACH2
ATF5	CDC5L
ATF5	ESR2
ATF5	FOXJ1
ATF5	FOXO3
ATF5	GATA2
ATF5	HLF
ATF5	HOXC10
ATF5	ING4
ATF5	KLF11
ATF5	MAFF
ATF5	MAX
ATF5	MYC
ATF5	NF1
ATF5	NFKB1
ATF5	NR2C2
ATF5	NR6A1
ATF5	OAZ1
ATF5	POU2F1
ATF5	RELB
ATF5	RFX1
ATF5	RXRB
ATF5	SREBF1
ATF5	SRF
ATF5	STAT3
ATF5	TFCP2
ATF5	TRIM28
ATF5	YY1
ATF6	BACH2
ATF6	CDC5L
ATF6	GATA2
ATF6	HLF
ATF6	ING4
ATF6	KLF11
ATF6	MAFF
ATF6	MYC
ATF6	NF1
ATF6	NR6A1
ATF6	RELB
ATF6	RFX1
ATF6	SREBF1
ATF6	STAT3
ATF6	TFCP2
ATF6	TRIM28
ATF6	YY1
ATF7	BACH2
ATF7	CDC5L
ATF7	GATA2
ATF7	HLF
ATF7	ING4
ATF7	KLF11
ATF7	MAFF
ATF7	MYC
ATF7	NF1
ATF7	NR6A1
ATF7	RELB
ATF7	RFX1
ATF7	SREBF1
ATF7	STAT3
ATF7	TFCP2
ATF7	TRIM28
ATF7	YY1
ATOH1	ARNT
ATOH1	ATF1
ATOH1	BACH1
ATOH1	BARHL1
ATOH1	CEBPE
ATOH1	DLX2
ATOH1	HOXA6
ATOH1	JUND
ATOH1	KLF4
ATOH1	MAFG
ATOH1	MEF2A
ATOH1	NFIL3
