Source	Target
AHR	ARID3A
AHR	ATF2
AHR	CEBPB
AHR	CEBPG
AHR	CTCF
AHR	DBP
AHR	EGR1
AHR	EGR4
AHR	ELK4
AHR	FOXF1
AHR	GLIS1
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	IKZF2
AHR	IRF2
AHR	JUND
AHR	KLF11
AHR	MAFF
AHR	MAFG
AHR	MEF2C
AHR	MEIS2
AHR	MYC
AHR	NFKB1
AHR	NR2F2
AHR	NR4A1
AHR	NRF1
AHR	RELA
AHR	RFX1
AHR	RUNX1
AHR	SP4
AHR	TFDP1
AHR	VDR
AHR	YY1
AHR	ZFX
AHR	ZNF219
AIRE	ETS2
AIRE	TCF3
ALX1	SP3
ALX3	HMGA2
ALX4	HMBOX1
ALX4	HOXA3
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	BHLHE40
AR	CEBPD
AR	GABPB1
AR	HMBOX1
AR	HOXB3
AR	HOXB4
AR	NFE2L1
AR	NR6A1
AR	RXRB
AR	SOX9
AR	TEF
AR	TGIF1
ARID5B	ATF1
ARID5B	ATF4
ARID5B	FOXL1
ARID5B	FOXO3
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	HMBOX1
ARID5B	HOXA7
ARID5B	MAFG
ARID5B	MAX
ARID5B	NFE2L1
ARID5B	NR4A1
ARID5B	NR6A1
ARID5B	SMAD7
ARID5B	TBX5
ARID5B	TEF
ARID5B	ZBTB7A
ARNT	ARID3A
ARNT	BHLHE41
ARNT	BPTF
ARNT	CTCF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	EGR4
ARNT	ELK4
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HOXA1
ARNT	HOXA7
ARNT	HOXB3
ARNT	HOXB4
ARNT	HOXB5
ARNT	IKZF2
ARNT	IRF9
ARNT	KLF11
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEF2C
ARNT	MEIS2
ARNT	MYC
ARNT	NFATC3
ARNT	NFKB1
ARNT	NR2F2
ARNT	NRF1
ARNT	RELB
ARNT	RUNX1
ARNT	SP4
ARNT	TFDP1
ARNT	TOPORS
ARNT	VDR
ARNT2	ARID3A
ARNT2	CTCF
ARNT2	EGR4
ARNT2	ELK4
ARNT2	HLF
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MEIS2
ARNT2	NFKB1
ARNT2	NR2F2
ARNT2	TFDP1
ARNT2	VDR
ATF1	ATF6
ATF1	BACH2
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	ERF
ATF1	FOSL1
ATF1	GTF2A1
ATF1	HLF
ATF1	HOXC10
ATF1	ING4
ATF1	IRF7
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	MAFF
ATF1	MAFG
ATF1	MYC
ATF1	NF1
ATF1	NFIL3
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TFCP2
ATF1	TGIF2
ATF1	TRIM28
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	ERF
ATF2	FOSL1
ATF2	GTF2A1
ATF2	HLF
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAFF
ATF2	MYC
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TBX5
ATF2	TFCP2
ATF2	TRIM28
ATF2	ZNF143
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	CEBPB
ATF3	EGR4
ATF3	ERF
ATF3	FOXF1
ATF3	HLF
ATF3	HOXC10
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAFF
ATF3	MYC
ATF3	NF1
ATF3	NR4A2
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TGIF2
ATF3	TRIM28
ATF4	BACH2
ATF4	CDC5L
ATF4	CTCF
ATF4	EGR4
ATF4	ERF
ATF4	FOXJ3
ATF4	GZF1
ATF4	HLF
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF12
ATF4	KLF15
ATF4	MAFB
ATF4	MAFF
ATF4	MAFG
ATF4	MYC
ATF4	MZF1
ATF4	NF1
ATF4	NR1H2
ATF4	NR4A2
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
ATF4	RFX1
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	TCF3
ATF4	TFCP2
ATF4	TGIF2
ATF4	TRIM28
ATF4	ZEB1
ATF5	BACH2
ATF5	CDC5L
ATF5	EGR1
ATF5	EGR4
ATF5	FOXO3
ATF5	GLIS3
ATF5	HLF
ATF5	HOXA3
ATF5	HOXC10
ATF5	ING4
ATF5	IRX5
ATF5	KLF11
ATF5	MAFF
ATF5	MAX
ATF5	MYC
ATF5	NF1
ATF5	NR2C2
ATF5	NR4A2
ATF5	NR6A1
ATF5	OAZ1
ATF5	RELB
ATF5	RFX1
ATF5	SREBF1
ATF5	STAT3
ATF5	TFCP2
ATF5	TRIM28
ATF5	XBP1
ATF6	BACH2
ATF6	CDC5L
ATF6	EGR4
ATF6	HLF
ATF6	HOXC10
ATF6	ING4
ATF6	IRX5
ATF6	KLF11
ATF6	MAFF
ATF6	MYC
ATF6	NF1
ATF6	NR4A2
ATF6	NR6A1
ATF6	RELB
ATF6	RFX1
ATF6	SREBF1
ATF6	STAT3
ATF6	TFCP2
ATF6	TRIM28
ATF7	BACH2
ATF7	CDC5L
ATF7	EGR4
ATF7	HLF
ATF7	HOXC10
ATF7	ING4
ATF7	IRX5
ATF7	KLF11
ATF7	MAFF
ATF7	MYC
ATF7	NF1
ATF7	NR4A2
ATF7	NR6A1
ATF7	RELB
ATF7	RFX1
ATF7	SREBF1
ATF7	STAT3
ATF7	TFCP2
ATF7	TRIM28
ATOH1	BACH1
ATOH1	CEBPD
ATOH1	CEBPE
ATOH1	DLX2
ATOH1	FOXL1
ATOH1	GABPB1
ATOH1	GLIS1
ATOH1	HOXA5
ATOH1	HOXA6
ATOH1	JUND
ATOH1	NF1
