Source	Target
AHR	ATF2
AHR	CTCF
AHR	DBP
AHR	EGR1
AHR	FOXG1
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	HMGA1
AHR	IRF2
AHR	JUN
AHR	MEF2C
AHR	PARP1
AHR	RFX1
AHR	SMAD2
AHR	SREBF1
AHR	TFDP1
AHR	UBP1
AHR	YY1
AHR	ZNF219
AHR	ZNF589
AIRE	TCF3
ALX4	HMBOX1
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	BHLHE40
AR	CEBPD
AR	HMBOX1
AR	KLF15
AR	NR6A1
AR	RXRB
AR	TGIF1
AR	XBP1
AR	ZBTB7B
ARID5B	ATF1
ARID5B	FOSL1
ARID5B	FOXD3
ARID5B	FOXO3
ARID5B	LMO2
ARID5B	MAFG
ARID5B	MAX
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	PRDM1
ARID5B	RUNX1
ARID5B	SMAD7
ARID5B	SPI1
ARID5B	TEF
ARID5B	ZBTB7B
ARNT	BPTF
ARNT	CTCF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	ELF3
ARNT	ESRRA
ARNT	FOXD3
ARNT	FOXG1
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HINFP
ARNT	HMGA1
ARNT	HOXB3
ARNT	HOXB4
ARNT	HOXC13
ARNT	IRF9
ARNT	JUN
ARNT	MAFF
ARNT	MEF2C
ARNT	NFATC3
ARNT	PKNOX1
ARNT	RELB
ARNT	SREBF1
ARNT	TFDP1
ARNT	TOPORS
ARNT	UBP1
ARNT	ZNF589
ARNT2	CTCF
ARNT2	FOXG1
ARNT2	JUN
ARNT2	SREBF1
ARNT2	TFDP1
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	FOXD3
ATF1	GATA2
ATF1	HOXC10
ATF1	ING4
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	KLF4
ATF1	MAFF
ATF1	MAFG
ATF1	NF1
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	TCF3
ATF1	TFCP2
ATF1	TGIF2
ATF1	TRIM28
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	FOXD3
ATF2	GATA2
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAFF
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TRIM28
ATF2	ZNF143
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	CEBPB
ATF3	DLX4
ATF3	FOXD3
ATF3	FOXO4
ATF3	GATA2
ATF3	HOXB6
ATF3	HOXB7
ATF3	HOXC10
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAFF
ATF3	NF1
ATF3	NR4A2
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SPI1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TGIF2
ATF3	TRIM28
ATF4	BACH2
ATF4	CDC5L
ATF4	CTCF
ATF4	FOXD3
ATF4	FOXJ3
ATF4	GATA2
ATF4	GZF1
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUNB
ATF4	KLF11
ATF4	KLF4
ATF4	MAFF
ATF4	NF1
ATF4	NR1H2
ATF4	NR4A2
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
ATF4	RFX1
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	TCF3
ATF4	TFCP2
ATF4	TGIF2
ATF4	TRIM28
ATF5	BACH2
ATF5	CDC5L
ATF5	E2F6
ATF5	FOXD3
ATF5	GATA2
ATF5	HOXC10
ATF5	ING4
ATF5	IRX5
ATF5	KLF11
ATF5	MAFF
ATF5	NF1
ATF5	NR3C1
ATF5	NR4A2
ATF5	NR6A1
ATF5	OAZ1
ATF5	RELB
ATF5	RFX1
ATF5	SREBF1
ATF5	STAT3
ATF5	TERF1
ATF5	TFCP2
ATF5	TRIM28
ATF6	BACH2
ATF6	CDC5L
ATF6	FOXD3
ATF6	GATA2
ATF6	HOXC10
ATF6	ING4
ATF6	IRX5
ATF6	KLF11
ATF6	MAFF
ATF6	NF1
ATF6	NR4A2
ATF6	NR6A1
ATF6	RELB
ATF6	RFX1
ATF6	SREBF1
ATF6	STAT3
ATF6	TFCP2
ATF6	TRIM28
ATF7	BACH2
ATF7	CDC5L
ATF7	FOXD3
ATF7	GATA2
ATF7	HOXC10
ATF7	ING4
ATF7	IRX5
ATF7	KLF11
ATF7	MAFF
ATF7	NF1
ATF7	NR4A2
ATF7	NR6A1
ATF7	RELB
ATF7	RFX1
ATF7	SREBF1
ATF7	STAT3
ATF7	TFCP2
ATF7	TRIM28
ATOH1	BACH1
ATOH1	CEBPD
ATOH1	CEBPE
ATOH1	DLX2
ATOH1	HMX3
ATOH1	PARP1
ATOH1	TFAP4
ATOH1	TGIF1
ATOH1	TGIF2
BACH1	BACH1
BACH1	BHLHE40
BACH1	DBP
BACH1	DDIT3
BACH1	DMBX1
BACH1	GTF2A1
BACH1	IRF6
BACH1	ISX
BACH1	MAFG
BACH1	PPARD
BACH1	PRDM1
BACH1	ZBTB7B
BACH1	ZNF143
BACH2	ATF3
BACH2	BACH1
BACH2	BHLHE40
BACH2	DBP
BACH2	DDIT3
BACH2	DMBX1
BACH2	GTF2A1
BACH2	IRF6
BACH2	ISX
BACH2	MAFG
BACH2	NR4A1
BACH2	PPARD
BACH2	PRDM1
BACH2	TGIF1
BACH2	ZNF143
BARHL1	CNOT3
BARHL1	NRF1
BARHL1	SP1
BARHL1	TCF4
BARHL2	CNOT3
BARHL2	NRF1
BARHL2	PURA
BARHL2	TCF4
BARX1	BRCA1
BCL6	BCL6
BCL6	BHLHE40
BCL6	GTF2A1
BCL6	NFE2L2
BDP1	FOXL1
BDP1	RFX1
BHLHE40	ATF1
BHLHE40	BCL6
BHLHE40	ELK1
BHLHE40	FOXD3
BHLHE40	FOXO3
BHLHE40	GBX2
BHLHE40	HOXB3
BHLHE40	HOXB4
BHLHE40	HOXC13
BHLHE40	LMO2
BHLHE40	MAFG
BHLHE40	MAX
BHLHE40	NR6A1
BHLHE40	OAZ1
BHLHE40	PRDM1
BHLHE40	RUNX1
BHLHE40	SMAD7
BHLHE40	SPI1
BHLHE40	TEF
BHLHE40	ZBTB7B
BHLHE41	ATF1
BHLHE41	BCL6
BHLHE41	ELF3
