Source	Target
AHR	ATF2
AHR	BHLHE40
AHR	BHLHE41
AHR	CEBPA
AHR	CTCF
AHR	CUX1
AHR	DBP
AHR	DLX4
AHR	EGR1
AHR	ELK4
AHR	FOXD1
AHR	FOXO3
AHR	FOXP1
AHR	GFI1
AHR	GTF2A1
AHR	GTF2I
AHR	HBP1
AHR	HES1
AHR	HOXA11
AHR	HOXA6
AHR	HOXC10
AHR	HOXC8
AHR	HOXD12
AHR	HOXD13
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	JUND
AHR	LHX3
AHR	MAFB
AHR	MAFF
AHR	MEIS2
AHR	MYB
AHR	MYC
AHR	NANOG
AHR	NEUROD1
AHR	NFKB1
AHR	NFKB2
AHR	NKX3-2
AHR	NR2F2
AHR	NR3C1
AHR	NRF1
AHR	PARP1
AHR	PATZ1
AHR	PAX3
AHR	POU2F1
AHR	POU3F3
AHR	PPARA
AHR	RFX1
AHR	RREB1
AHR	RUNX3
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	TFAP4
AHR	TFDP1
AHR	TGIF1
AHR	TGIF2
AHR	TOPORS
AHR	USF2
AHR	VDR
AHR	YY1
AHR	ZBTB16
AHR	ZFP161
AHR	ZFX
AHR	ZNF219
AHR	ZNF263
AHR	ZNF589
AIRE	ARID5B
AIRE	MYC
AIRE	NFYA
AIRE	NR3C1
AIRE	TCF3
ALX3	NR2F2
ALX4	EPAS1
ALX4	HMBOX1
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	ATF4
AR	BHLHE40
AR	CEBPD
AR	EGR1
AR	ELF5
AR	GFI1
AR	HMBOX1
AR	JUND
AR	MYC
AR	NR6A1
AR	PURA
AR	RXRB
AR	SIX3
AR	STAT5B
AR	TCF3
AR	TEF
AR	TGIF1
AR	VDR
AR	XBP1
AR	ZBTB7B
AR	ZNF628
ARID5B	ARID3A
ARID5B	ARNT
ARID5B	ARNTL2
ARID5B	ATF1
ARID5B	ATF4
ARID5B	BARHL1
ARID5B	BHLHE41
ARID5B	CEBPE
ARID5B	DBP
ARID5B	DDIT3
ARID5B	DEAF1
ARID5B	DMRT2
ARID5B	EOMES
ARID5B	FOSL1
ARID5B	FOXN2
ARID5B	FOXO3
ARID5B	GFI1
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	HMBOX1
ARID5B	HOXA1
ARID5B	LMO2
ARID5B	MAFG
ARID5B	MAX
ARID5B	MTERF
ARID5B	NFE2L2
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	PRDM1
ARID5B	RUNX1
ARID5B	SMAD7
ARID5B	TCF3
ARID5B	TEF
ARID5B	TFAP2C
ARID5B	TFAP4
ARID5B	ZBTB7B
ARNT	BHLHE40
ARNT	BHLHE41
ARNT	BPTF
ARNT	CDX2
ARNT	CEBPA
ARNT	CTCF
ARNT	CUX1
ARNT	DBP
ARNT	DEAF1
ARNT	DLX2
ARNT	DLX4
ARNT	EGR1
ARNT	ELK4
ARNT	ESRRA
ARNT	FOXO3
ARNT	FOXP1
ARNT	GFI1
ARNT	GTF2A1
ARNT	GTF2I
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HMGA2
ARNT	HOXA1
ARNT	HOXA11
ARNT	HOXA6
ARNT	HOXC10
ARNT	HOXC8
ARNT	HOXD13
ARNT	IKZF2
ARNT	IRF8
ARNT	IRF9
ARNT	JUN
ARNT	KLF15
ARNT	MAFF
ARNT	MAX
ARNT	MEIS2
ARNT	MYB
ARNT	MYBL2
ARNT	MYC
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NFKB1
ARNT	NFKB2
ARNT	NKX3-2
