Source	Target
AHR	ATF2
AHR	BHLHE40
AHR	CEBPB
AHR	DBP
AHR	EGR1
AHR	EGR3
AHR	GLIS1
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	MAFB
AHR	MAFF
AHR	MEIS2
AHR	NR2F1
AHR	NR2F2
AHR	POU3F3
AHR	RFX1
AHR	RUNX1
AHR	SMAD2
AHR	SP4
AHR	TFDP1
AHR	USF2
AHR	VDR
AHR	YY1
AHR	ZFX
AHR	ZNF219
AHR	ZNF589
AIRE	TCF3
ALX3	HES1
ALX3	HMGA2
ALX4	HMBOX1
ALX4	HOXA3
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	BHLHE40
AR	GABPB1
AR	HMBOX1
AR	NFIB
AR	NR6A1
AR	RXRB
AR	SOX9
AR	TGIF1
AR	ZNF628
ARID5B	ATF1
ARID5B	ATF4
ARID5B	EGR2
ARID5B	FOXL1
ARID5B	FOXO3
ARID5B	GATA2
ARID5B	HINFP
ARID5B	HMBOX1
ARID5B	MAFG
ARID5B	MAX
ARID5B	NFE2L1
ARID5B	POU3F2
ARID5B	RUNX1
ARID5B	SMAD7
ARID5B	TEF
ARID5B	ZBTB7A
ARNT	BHLHE40
ARNT	BHLHE41
ARNT	BPTF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	EGR3
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HOXA1
ARNT	HOXB5
ARNT	IKZF2
ARNT	IRF9
ARNT	JUN
ARNT	MAFF
ARNT	MAX
ARNT	MEIS2
ARNT	NFATC3
ARNT	NR2F1
ARNT	NR2F2
ARNT	RUNX1
ARNT	SP4
ARNT	TFDP1
ARNT	TOPORS
ARNT	USF2
ARNT	VDR
ARNT	ZNF589
ARNT2	IKZF2
ARNT2	JUN
ARNT2	MAFF
ARNT2	MEIS2
ARNT2	NR2F2
ARNT2	TFDP1
ARNT2	VDR
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	FOSL1
ATF1	GTF2A1
ATF1	ING4
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	MAF
ATF1	MAFF
ATF1	NF1
ATF1	NFIL3
ATF1	NR4A2
ATF1	NR6A1
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TFCP2
ATF1	TRIM28
ATF1	ZNF143
ATF1	ZNF628
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	FOSL1
ATF2	GTF2A1
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAF
ATF2	MAFF
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TRIM28
ATF2	ZNF143
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	CEBPB
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAF
ATF3	MAFF
ATF3	NF1
ATF3	NR4A2
ATF3	NR6A1
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TRIM28
ATF3	XBP1
ATF4	BACH2
ATF4	CDC5L
ATF4	CTCF
ATF4	GZF1
ATF4	ING4
ATF4	IRX5
ATF4	KLF11
ATF4	KLF12
