Source	Target
AHR	ATF2
AHR	CTCF
AHR	DBP
AHR	EGR1
AHR	GTF2A1
AHR	HBP1
AHR	HES1
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	MAFF
AHR	MEF2C
AHR	MEIS2
AHR	MTF1
AHR	RFX1
AHR	SMAD2
AHR	SP4
AHR	YY1
AHR	ZNF219
AHR	ZNF263
AHR	ZNF589
AIRE	ETS2
AIRE	TCF3
ALX1	BRCA1
ALX1	EOMES
ALX1	TBP
ALX3	HES1
ALX3	HMGA2
ALX4	EHF
ALX4	EPAS1
ALX4	HMBOX1
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	ATF4
AR	BHLHE40
AR	CEBPD
AR	ELF5
AR	ESR2
AR	GABPB1
AR	HMBOX1
AR	IRF6
AR	LMO2
AR	NFIB
AR	NR6A1
AR	PPARD
AR	RXRB
AR	SOX9
AR	STAT4
AR	TGIF1
ARID5B	ATF1
ARID5B	ATF4
ARID5B	FOSL1
ARID5B	FOXO3
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	MAFG
ARID5B	MAX
ARID5B	PRDM1
ARID5B	SMAD7
ARID5B	TEF
ARNT	BPTF
ARNT	CTCF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	ELF3
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HOXA1
ARNT	IKZF2
ARNT	IRF9
ARNT	JUN
ARNT	KLF15
ARNT	MAFF
ARNT	MAX
ARNT	MEF2C
ARNT	MEIS2
ARNT	NFATC3
ARNT	SMAD2
ARNT	SP4
ARNT	TFAP4
ARNT	TOPORS
ARNT	ZNF589
ARNT2	CTCF
ARNT2	IKZF2
ARNT2	JUN
ARNT2	MAFF
ARNT2	MEIS2
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	FOSL1
ATF1	GTF2A1
ATF1	HLF
ATF1	ING4
ATF1	IRF6
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	MAF
ATF1	MAFF
ATF1	MAFG
ATF1	MYOG
ATF1	NF1
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SMAD7
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TFCP2
ATF1	TRIM28
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	FOSL1
ATF2	GTF2A1
ATF2	HLF
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAF
ATF2	MAFF
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SMAD7
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TRIM28
ATF2	ZNF143
ATF3	ATF4
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	CEBPB
ATF3	EGR4
ATF3	HLF
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAF
ATF3	MAFF
ATF3	NF1
ATF3	NR2F6
ATF3	NR4A2
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SMAD7
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TRIM28
ATF4	BACH2
ATF4	CDC5L
ATF4	CEBPB
ATF4	CTCF
ATF4	EGR4
ATF4	FOXJ3
ATF4	GZF1
ATF4	HLF
ATF4	ING4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF15
ATF4	MAF
ATF4	MAFB
ATF4	MAFF
ATF4	MZF1
ATF4	NF1
ATF4	NR1H2
ATF4	NR4A2
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
ATF4	RFX1
ATF4	SMAD7
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	STAT4
ATF4	TCF3
ATF4	TFCP2
ATF4	TRIM28
ATF4	ZEB1
ATF5	ARNTL2
ATF5	ATF3
ATF5	BACH2
ATF5	CDC5L
ATF5	EGR1
ATF5	EGR4
ATF5	FOXO3
ATF5	HLF
ATF5	ING4
ATF5	IRX5
ATF5	ISL1
ATF5	KLF11
ATF5	MAF
ATF5	MAFF
ATF5	MAX
ATF5	MECOM
ATF5	NF1
ATF5	NR4A2
ATF5	NR6A1
ATF5	OAZ1
ATF5	RELB
ATF5	RFX1
ATF5	SMAD7
ATF5	SP1
ATF5	SREBF1
ATF5	STAT3
ATF5	TFCP2
ATF5	TFEC
ATF5	TRIM28
ATF5	ZNF219
ATF6	BACH2
ATF6	CDC5L
ATF6	EGR4
ATF6	HLF
ATF6	ING4
ATF6	IRX5
ATF6	KLF11
ATF6	MAF
ATF6	MAFF
ATF6	NF1
ATF6	NR4A2
ATF6	NR6A1
ATF6	RELB
ATF6	RFX1
ATF6	SMAD7
ATF6	SREBF1
ATF6	STAT3
ATF6	TFCP2
ATF6	TRIM28
ATF7	BACH2
ATF7	CDC5L
ATF7	EGR4
ATF7	HLF
ATF7	ING4
ATF7	IRX5
ATF7	KLF11
ATF7	MAF
ATF7	MAFF
ATF7	NF1
ATF7	NR4A2
ATF7	NR6A1
ATF7	RELB
ATF7	RFX1
ATF7	SMAD7
ATF7	SREBF1
ATF7	STAT3
ATF7	TFCP2
ATF7	TRIM28
ATOH1	BACH1
ATOH1	BRCA1
ATOH1	CEBPD
ATOH1	CEBPE
ATOH1	DEAF1
ATOH1	DLX2
ATOH1	LHX3
ATOH1	MTF1
ATOH1	NFIL3
ATOH1	SOX4
ATOH1	SRF
ATOH1	TFAP2A
ATOH1	TFAP4
ATOH1	TGIF1
BACH1	ATF5
BACH1	BACH1
BACH1	BHLHE40
BACH1	BHLHE41
BACH1	CEBPG
BACH1	CREB1
BACH1	DBP
BACH1	DDIT3
BACH1	DLX1
BACH1	EHF
BACH1	ESRRB
BACH1	FOXN1
BACH1	GLIS3
BACH1	GTF2A1
BACH1	GTF2IRD1
BACH1	HMGA1
BACH1	IRF6
BACH1	KLF4
BACH1	NFKB2
BACH1	NR2F6
BACH1	PRDM1
BACH1	SP2
BACH1	STAT1
BACH1	TFEC
BACH1	TGIF1
BACH1	ZBTB7B
BACH1	ZNF143
BACH1	ZNF217
BACH2	ATF3
BACH2	ATF5
BACH2	BACH1
BACH2	BHLHE40
BACH2	DBP
BACH2	DDIT3
BACH2	DLX1
BACH2	EHF
BACH2	ESRRB
BACH2	FOXN1
BACH2	GLIS3
BACH2	GTF2A1
BACH2	GTF2IRD1
BACH2	IRF6
BACH2	KLF4
BACH2	NFIL3
BACH2	NR2F6
