Source	Target
AHR	ARID3A
AHR	ATF2
AHR	CEBPG
AHR	CTCF
AHR	DBP
AHR	E2F5
AHR	EGR1
AHR	EGR4
AHR	ELK4
AHR	FOXH1
AHR	FOXP1
AHR	GATA4
AHR	GTF2A1
AHR	GTF2I
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	JUND
AHR	KLF11
AHR	KLF12
AHR	MAFB
AHR	MAFF
AHR	MAFG
AHR	MEF2C
AHR	MYC
AHR	NR2F6
AHR	NR3C1
AHR	NRF1
AHR	PARP1
AHR	POU3F3
AHR	PPARA
AHR	RBPJ
AHR	RFX1
AHR	SMAD2
AHR	SREBF1
AHR	STAT5B
AHR	TEF
AHR	TFAP4
AHR	TGIF2
AHR	TOPORS
AHR	USF2
AHR	YY1
AHR	ZNF219
AHR	ZNF589
AIRE	NR3C1
AIRE	TCF3
ALX4	HMBOX1
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	BHLHE40
AR	HMBOX1
AR	ISL1
AR	KLF15
AR	NR6A1
AR	PURA
AR	RFX1
AR	RXRB
AR	SMAD2
AR	SOX9
AR	TEF
ARID5B	ATF1
ARID5B	ATF4
ARID5B	FOXO3
ARID5B	GATA2
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	HLF
ARID5B	HOXD1
ARID5B	JUN
ARID5B	MAFG
ARID5B	MAX
ARID5B	MECOM
ARID5B	NEUROD1
ARID5B	OAZ1
ARID5B	PATZ1
ARID5B	PURA
ARID5B	SMAD7
ARID5B	TEF
ARID5B	ZBTB7A
ARID5B	ZFX
ARNT	ARID3A
ARNT	BHLHE41
ARNT	BPTF
ARNT	CTCF
ARNT	CUX1
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	EGR4
ARNT	ELK4
ARNT	ESRRA
ARNT	FOXH1
ARNT	FOXP1
ARNT	GATA4
ARNT	GTF2A1
ARNT	GTF2I
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	IKZF2
ARNT	IRF9
ARNT	JUN
ARNT	KLF11
ARNT	KLF12
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEF2C
ARNT	MYC
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NFIB
ARNT	NR3C1
ARNT	NRF1
ARNT	PKNOX1
ARNT	PPARA
ARNT	PURA
ARNT	RELB
ARNT	RFX5
ARNT	SMAD2
ARNT	SREBF1
ARNT	STAT5B
ARNT	TFAP4
ARNT	TOPORS
ARNT	USF2
ARNT	ZIC1
ARNT	ZIC2
ARNT	ZNF589
ARNT2	ARID3A
ARNT2	CTCF
ARNT2	EGR4
ARNT2	ELK4
ARNT2	FOXH1
ARNT2	GTF2I
ARNT2	HLF
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	SREBF1
ARNT2	STAT5B
ARNT2	TFAP4
ARNT2	ZNF589
ATF1	BACH2
ATF1	BDP1
ATF1	DBP
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	ERF
ATF1	GATA2
ATF1	GATA3
ATF1	GTF2A1
ATF1	HAND2
ATF1	HLF
ATF1	HOXC10
ATF1	ING4
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	MAFF
ATF1	MAFG
ATF1	MYC
ATF1	NF1
ATF1	NR4A2
ATF1	NR6A1
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	TCF3
ATF1	TFCP2
ATF1	TFDP1
ATF1	TRIM28
ATF1	YY1
ATF1	ZNF143
ATF2	BACH2
ATF2	DBP
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	ERF
ATF2	GATA2
ATF2	GATA3
ATF2	GTF2A1
ATF2	HLF
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAFF
ATF2	MYC
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TFCP2
ATF2	TRIM28
ATF2	YY1
ATF2	ZNF143
ATF3	BACH2
ATF3	BDP1
ATF3	DBP
ATF3	DLX4
ATF3	EGR4
ATF3	GATA2
ATF3	GATA3
ATF3	HLF
ATF3	HOXC10
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAFA
ATF3	MAFF
ATF3	MYC
ATF3	NF1
ATF3	NR4A2
ATF3	NR6A1
ATF3	ONECUT1
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TRIM28
ATF3	YY1
ATF4	ARNT2
ATF4	BACH2
ATF4	CTCF
ATF4	CUX1
ATF4	DBP
ATF4	EGR4
ATF4	FOXJ3
ATF4	GATA2
ATF4	GATA3
ATF4	GZF1
ATF4	HLF
ATF4	HOXC10
ATF4	ING4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF12
ATF4	KLF15
ATF4	MAFB
ATF4	MAFF
ATF4	MAFG
ATF4	MYC
ATF4	NF1
ATF4	NR4A2
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
ATF4	REST
ATF4	RFX1
ATF4	SMAD1
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	TFCP2
ATF4	TRIM28
ATF4	YY1
ATF5	BACH2
ATF5	DBP
ATF5	EGR4
ATF5	FOXO3
ATF5	GATA2
ATF5	GATA3
ATF5	HLF
ATF5	HOXC10
ATF5	ING4
ATF5	IRX5
ATF5	ISL1
ATF5	KLF11
ATF5	KLF12
ATF5	MAFF
ATF5	MYC
ATF5	NF1
ATF5	NFIB
ATF5	NR2C2
ATF5	NR2F1
ATF5	NR4A2
ATF5	NR6A1
ATF5	OAZ1
ATF5	RELB
ATF5	RFX1
ATF5	SREBF1
ATF5	STAT3
ATF5	TFCP2
ATF5	TRIM28
ATF5	YY1
ATF6	BACH2
ATF6	DBP
ATF6	EGR4
ATF6	GATA2
ATF6	GATA3
ATF6	HLF
ATF6	HOXC10
ATF6	ING4
ATF6	IRX5
ATF6	KLF11
ATF6	MAFF
ATF6	MYC
ATF6	NF1
ATF6	NR4A2
ATF6	NR6A1
ATF6	RELB
ATF6	RFX1
ATF6	SREBF1
ATF6	STAT3
ATF6	TFCP2
ATF6	TRIM28
ATF6	YY1
ATF7	BACH2
ATF7	DBP
ATF7	EGR4
ATF7	GATA2
ATF7	GATA3
ATF7	HLF
ATF7	HOXC10
ATF7	ING4
