Source	Target
AHR	ARID3A
AHR	ATF2
AHR	BHLHE40
AHR	BHLHE41
AHR	CEBPG
AHR	CTCF
AHR	DBP
AHR	DLX2
AHR	EGR1
AHR	EGR3
AHR	EGR4
AHR	ELK4
AHR	FOXG1
AHR	FOXP1
AHR	GLI3
AHR	GLIS1
AHR	GTF2A1
AHR	GTF2IRD1
AHR	HBP1
AHR	HES1
AHR	HIF1A
AHR	HLF
AHR	HOXA6
AHR	HOXA7
AHR	HOXC8
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	JUND
AHR	KLF12
AHR	MAFF
AHR	MAFG
AHR	MECOM
AHR	MEF2C
AHR	MEIS2
AHR	MYC
AHR	NEUROD1
AHR	NFKB1
AHR	NR2F2
AHR	NR3C1
AHR	NRF1
AHR	PARP1
AHR	POU3F3
AHR	PRRX1
AHR	RELA
AHR	RFX1
AHR	RUNX1
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	TBX18
AHR	TFDP1
AHR	TGIF1
AHR	UBP1
AHR	USF2
AHR	VDR
AHR	YY1
AHR	ZEB1
AHR	ZFX
AHR	ZNF219
AHR	ZNF263
AHR	ZNF589
AIRE	ARID5B
AIRE	HOXA10
AIRE	HOXA9
AIRE	MYC
AIRE	TCF3
ALX1	EMX2
ALX1	SP3
ALX1	UBP1
ALX3	HES1
ALX3	HMGA2
ALX4	EMX2
ALX4	EPAS1
ALX4	GLIS1
ALX4	HMBOX1
ALX4	HOXA3
ALX4	HOXA9
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	ATF4
AR	BHLHE40
AR	CEBPD
AR	DLX2
AR	EGR1
AR	ESR2
AR	FOXL1
AR	GABPB1
AR	HMBOX1
AR	HOXB3
AR	HOXB4
AR	HOXC11
AR	HOXC9
AR	JUND
AR	KLF15
AR	NFE2L1
AR	NFIB
AR	NR6A1
AR	PURA
AR	RXRB
AR	SOX4
AR	SOX9
AR	TBX18
AR	TGIF1
ARID5B	ARID3A
ARID5B	ATF1
ARID5B	ATF3
ARID5B	ATF4
ARID5B	BARHL1
ARID5B	DDIT3
ARID5B	EN2
ARID5B	FLI1
ARID5B	FOSL1
ARID5B	FOXL1
ARID5B	FOXO3
ARID5B	HES1
ARID5B	HINFP
ARID5B	HOXA6
ARID5B	HOXA7
ARID5B	HOXC13
ARID5B	MAFG
ARID5B	MAX
ARID5B	MTERF
ARID5B	NFE2L1
ARID5B	NFE2L2
ARID5B	NFIL3
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	PAX8
ARID5B	PRDM1
ARID5B	RUNX1
ARID5B	TBX5
ARID5B	TEF
ARID5B	ZBTB7A
ARID5B	ZBTB7B
ARNT	ARID3A
ARNT	BHLHE40
ARNT	BHLHE41
ARNT	BPTF
ARNT	CTCF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	EGR3
ARNT	EGR4
ARNT	ELK4
ARNT	FOXG1
ARNT	FOXP1
ARNT	GLI3
ARNT	GLIS1
ARNT	GTF2A1
ARNT	GTF2IRD1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HOXA1
ARNT	HOXA6
ARNT	HOXA7
ARNT	HOXA9
ARNT	HOXB5
ARNT	HOXC13
ARNT	HOXC5
ARNT	HOXC8
ARNT	IKZF2
ARNT	IRF9
ARNT	JUN
ARNT	KLF12
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MECOM
ARNT	MEF2C
ARNT	MEIS2
ARNT	MYC
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NFIB
ARNT	NFKB1
ARNT	NR2F2
ARNT	NR3C1
ARNT	NRF1
ARNT	PKNOX1
ARNT	PRRX1
ARNT	RELB
ARNT	RUNX1
ARNT	SMAD2
ARNT	SP4
ARNT	SREBF1
ARNT	TBX18
ARNT	TFDP1
ARNT	TOPORS
ARNT	UBP1
ARNT	USF2
ARNT	VDR
ARNT	ZNF589
ARNT2	ARID3A
ARNT2	CTCF
ARNT2	DLX2
ARNT2	EGR4
ARNT2	ELK4
ARNT2	FOXG1
ARNT2	GLI3
ARNT2	HLF
ARNT2	HOXA6
ARNT2	HOXA7
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MECOM
ARNT2	MEIS2
ARNT2	NEUROD1
ARNT2	NFKB1
ARNT2	NR2F2
ARNT2	SREBF1
ARNT2	TBX18
ARNT2	TFDP1
ARNT2	USF2
ARNT2	VDR
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	EGR4
ATF1	ERF
ATF1	ETS2
ATF1	FOSL1
ATF1	FOXJ1
ATF1	FOXP1
ATF1	GATA6
ATF1	GTF2A1
ATF1	HAND2
ATF1	HLF
ATF1	HOXC10
ATF1	ING4
ATF1	IRF7
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	MAF
ATF1	MAFF
ATF1	MAFG
ATF1	MYC
ATF1	NF1
ATF1	NFIL3
ATF1	NR4A2
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TCF3
ATF1	TFCP2
ATF1	TFDP1
ATF1	TLX2
ATF1	TRIM28
ATF1	YY1
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	EGR4
ATF2	ERF
ATF2	FOSL1
ATF2	FOXP1
ATF2	GTF2A1
ATF2	HLF
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAF
ATF2	MAFF
ATF2	MYC
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TBX5
ATF2	TFCP2
ATF2	TLX2
ATF2	TRIM28
ATF2	YY1
ATF2	ZNF143
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	CEBPB
ATF3	EGR4
ATF3	ERF
ATF3	ETS2
ATF3	FOXF1
ATF3	FOXO4
ATF3	FOXP1
ATF3	HLF
ATF3	HOXC10
ATF3	ING4
ATF3	IRF6
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAF
ATF3	MAFF
ATF3	MYC
ATF3	NF1
ATF3	NFATC1
ATF3	NR4A2
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
