Source	Target
AHR	ATF2
AHR	ATOH1
AHR	DBP
AHR	E2F5
AHR	EGR1
AHR	EGR3
AHR	EGR4
AHR	EMX2
AHR	EOMES
AHR	FOXP1
AHR	GTF2A1
AHR	GTF2I
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	HOXC13
AHR	HOXC8
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	JUND
AHR	KLF11
AHR	MAFB
AHR	MAFG
AHR	MEF2C
AHR	MEIS2
AHR	NFKB1
AHR	NKX3-2
AHR	NR2F2
AHR	NR3C1
AHR	NRF1
AHR	PARP1
AHR	POU3F2
AHR	POU3F3
AHR	RELA
AHR	RFX1
AHR	SP4
AHR	TFDP1
AHR	UBP1
AHR	USF2
AHR	YY1
AHR	ZFX
AHR	ZNF219
AHR	ZNF263
AHR	ZNF589
AIRE	NR3C1
AIRE	TCF3
ALX1	ELK4
ALX1	EMX2
ALX1	GTF2IRD1
ALX1	SOX21
ALX4	EMX2
ALX4	GTF2IRD1
ALX4	HMBOX1
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	UBP1
AR	EGR1
AR	HMBOX1
AR	HOXB3
AR	HOXB4
AR	KLF15
AR	NFIB
AR	NR5A1
AR	NR6A1
AR	PAX7
AR	RXRB
AR	SOX9
AR	STAT1
AR	TEF
AR	TGIF1
ARID5B	ATF1
ARID5B	ATF4
ARID5B	EN2
ARID5B	FOXD3
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	HMBOX1
ARID5B	HOXA7
ARID5B	JUN
ARID5B	MAFG
ARID5B	MAX
ARID5B	NEUROD1
ARID5B	NR6A1
ARID5B	PAX6
ARID5B	POU3F2
ARID5B	SMAD7
ARID5B	ZBTB7A
ARNT	ATOH1
ARNT	BHLHE41
ARNT	BPTF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	EGR3
ARNT	EGR4
ARNT	EMX2
ARNT	FOXD3
ARNT	FOXP1
ARNT	GTF2A1
ARNT	GTF2I
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HOXA7
ARNT	HOXC8
ARNT	IKZF2
ARNT	IRF9
ARNT	JUN
ARNT	KLF11
ARNT	KLF15
ARNT	MAFG
ARNT	MAX
ARNT	MEF2C
ARNT	MEIS2
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NFKB1
ARNT	NKX3-2
ARNT	NR2F2
ARNT	NR3C1
ARNT	NRF1
ARNT	PKNOX1
ARNT	POU3F2
ARNT	RELB
ARNT	RFX5
ARNT	SMAD2
ARNT	SP4
ARNT	TFDP1
ARNT	TOPORS
ARNT	UBP1
ARNT	USF2
ARNT	ZIC1
ARNT	ZIC2
ARNT	ZNF238
ARNT	ZNF589
ARNT2	ATOH1
ARNT2	EGR3
ARNT2	EGR4
ARNT2	GTF2I
ARNT2	HLF
ARNT2	JUN
ARNT2	MAFG
ARNT2	MEIS2
ARNT2	NFKB1
ARNT2	NR2F2
ARNT2	TFDP1
