Source	Target
AHR	ATF2
AHR	ATF4
AHR	ATOH1
AHR	BHLHE41
AHR	CTCF
AHR	DBP
AHR	E2F5
AHR	EGR1
AHR	FOXP1
AHR	GLI3
AHR	GTF2A1
AHR	HAND2
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	HMGA2
AHR	IKZF2
AHR	IRF2
AHR	IRX4
AHR	JUN
AHR	JUND
AHR	KLF11
AHR	MAFB
AHR	MAFF
AHR	MEF2C
AHR	MEIS2
AHR	MYC
AHR	NFKB1
AHR	NRF1
AHR	PARP1
AHR	PRRX1
AHR	RELA
AHR	RFX1
AHR	SP4
AHR	SREBF1
AHR	TEF
AHR	TFDP1
AHR	TGIF2
AHR	UBP1
AHR	USF2
AHR	YY1
AHR	ZNF219
AHR	ZNF263
AHR	ZNF589
AIRE	ARID5B
AIRE	ATF6
AIRE	HAND2
AIRE	NFYA
AIRE	NR3C1
AIRE	TCF3
ALX1	UBP1
ALX4	EHF
ALX4	HMBOX1
ALX4	IRF2
ALX4	JUN
ALX4	RB1
ALX4	TBX5
ALX4	UBP1
AR	ATF4
AR	BHLHE40
AR	CEBPD
AR	HAND2
AR	HMBOX1
AR	IRF6
AR	KLF15
AR	NFIB
AR	NR6A1
AR	PURA
AR	RREB1
AR	RXRB
AR	STAT4
AR	TEF
AR	TGIF1
ARID5B	ATF1
ARID5B	ATF4
ARID5B	BARHL1
ARID5B	E2F1
ARID5B	EGR2
ARID5B	EN2
ARID5B	ESR2
ARID5B	FOXO3
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	IRF2
ARID5B	MAFG
ARID5B	MAX
ARID5B	NFE2L1
ARID5B	NFE2L2
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	PPARA
ARID5B	SMAD7
ARID5B	SREBF2
ARID5B	TBX5
ARID5B	TEF
ARID5B	ZBTB7B
ARNT	ATOH1
ARNT	BHLHE41
ARNT	BPTF
ARNT	CTCF
ARNT	CUX1
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	ESRRA
ARNT	FOXP1
ARNT	GATA4
ARNT	GLI3
ARNT	GTF2A1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HMGA2
ARNT	IKZF2
ARNT	IRF8
ARNT	IRF9
ARNT	IRX4
ARNT	JUN
ARNT	KLF15
ARNT	MAFF
ARNT	MAX
ARNT	MEF2C
ARNT	MEIS2
ARNT	MYC
ARNT	NFATC3
ARNT	NFKB1
ARNT	NRF1
