Source	Target
AHR	ATF2
AHR	CEBPB
AHR	CEBPG
AHR	CTCF
AHR	DBP
AHR	E2F5
AHR	EGR1
AHR	EOMES
AHR	FOXF1
AHR	GLI3
AHR	GTF2A1
AHR	GTF2I
AHR	GTF2IRD1
AHR	HBP1
AHR	HES1
AHR	HLF
AHR	HOXA2
AHR	HOXA6
AHR	HOXA7
AHR	IKZF2
AHR	IRF2
AHR	JUN
AHR	JUND
AHR	KLF11
AHR	MAFB
AHR	MAFF
AHR	MAFG
AHR	MEF2C
AHR	MEIS2
AHR	MYC
AHR	NEUROD1
AHR	NFKB1
AHR	NR2F2
AHR	NR3C1
AHR	NR4A1
AHR	NRF1
AHR	PARP1
AHR	PPARA
AHR	RELA
AHR	RFX1
AHR	SMAD2
AHR	SP4
AHR	SREBF1
AHR	TGIF2
AHR	UBP1
AHR	USF2
AHR	YY1
AHR	ZFP161
AHR	ZFX
AHR	ZNF219
AHR	ZNF263
AHR	ZNF589
AIRE	ARID5B
AIRE	GFI1
AIRE	MAF
AIRE	NFIB
AIRE	NFYA
AIRE	TCF3
ALX1	NFIB
ALX3	NR2F2
ALX4	EPAS1
ALX4	HMBOX1
ALX4	HOXA1
ALX4	HOXA3
ALX4	JUN
ALX4	NFIB
ALX4	RB1
ALX4	UBP1
AR	BHLHE40
AR	EGR1
AR	ELF5
AR	HMBOX1
AR	HOXA4
AR	JUND
AR	KLF15
AR	MAF
AR	NFIB
AR	NR5A1
AR	NR6A1
AR	PAX6
AR	PAX7
AR	PURA
AR	RXRB
AR	SOX4
AR	SOX9
AR	TEF
AR	TGIF1
AR	ZBTB7B
ARID5B	ARNT
ARID5B	ATF1
ARID5B	ATF4
ARID5B	BARHL1
ARID5B	DDIT3
ARID5B	EN2
ARID5B	FOXD3
ARID5B	FOXL1
ARID5B	FOXO3
ARID5B	GATA5
ARID5B	GTF2A1
ARID5B	HINFP
ARID5B	HOXA1
ARID5B	HOXA5
ARID5B	HOXA6
ARID5B	HOXA7
ARID5B	HOXB7
ARID5B	HOXB8
ARID5B	HOXC13
ARID5B	HOXD1
ARID5B	LEF1
ARID5B	MAX
ARID5B	NFE2L2
ARID5B	NR6A1
ARID5B	OAZ1
ARID5B	PRDM1
ARID5B	TBX5
ARID5B	TEF
ARID5B	ZBTB7A
ARID5B	ZBTB7B
ARNT	BPTF
ARNT	CTCF
ARNT	DBP
ARNT	DLX2
ARNT	EGR1
ARNT	ELF3
ARNT	FOXD3
ARNT	GLI3
ARNT	GTF2A1
ARNT	GTF2I
ARNT	GTF2IRD1
ARNT	GZF1
ARNT	HBP1
ARNT	HES1
ARNT	HIF1A
ARNT	HINFP
ARNT	HLF
ARNT	HMGA2
ARNT	HOXA1
ARNT	HOXA2
ARNT	HOXA3
ARNT	HOXA6
ARNT	HOXA7
ARNT	HOXA9
ARNT	HOXB3
ARNT	HOXB4
ARNT	HOXB5
ARNT	HOXB7
ARNT	HOXB8
ARNT	HOXC13
ARNT	IKZF2
ARNT	IRF9
ARNT	JUN
ARNT	KLF11
ARNT	KLF15
ARNT	MAFF
ARNT	MAFG
ARNT	MAX
ARNT	MEF2C
ARNT	MEIS2
ARNT	MYC
ARNT	NEUROD1
ARNT	NFATC3
ARNT	NFIB
ARNT	NFKB1
ARNT	NR2F2
ARNT	NR3C1
ARNT	NRF1
ARNT	PKNOX1
ARNT	PPARA
ARNT	RELB
ARNT	SMAD2
ARNT	SP4
ARNT	SREBF1
ARNT	TGIF1
ARNT	TOPORS
ARNT	UBP1
ARNT	USF2
ARNT	ZFP161
ARNT	ZNF589
ARNT2	CTCF
ARNT2	GLI3
ARNT2	GTF2I
ARNT2	HLF
ARNT2	HOXA6
ARNT2	HOXA7
ARNT2	IKZF2
ARNT2	JUN
ARNT2	MAFF
ARNT2	MAFG
ARNT2	MEIS2
ARNT2	NEUROD1
ARNT2	NFKB1
ARNT2	NR2F2
ARNT2	SREBF1
ARNT2	USF2
ARNT2	ZFP161
ARNT2	ZNF589
ATF1	ATF6
ATF1	BACH2
ATF1	BCL6
ATF1	BDP1
ATF1	CDC5L
ATF1	EGR2
ATF1	EGR3
ATF1	ERF
ATF1	FOXD3
ATF1	FOXP1
ATF1	GATA2
ATF1	GLI1
ATF1	GTF2A1
ATF1	HLF
ATF1	HOXC10
ATF1	ING4
ATF1	IRF6
ATF1	IRF7
ATF1	IRX5
ATF1	JUND
ATF1	KLF11
ATF1	KLF4
ATF1	MAF
ATF1	MAFF
ATF1	MAFG
ATF1	MYC
ATF1	NF1
ATF1	NFIL3
ATF1	NR6A1
ATF1	PPARD
ATF1	REL
ATF1	RELB
ATF1	RFX1
ATF1	SREBF1
ATF1	STAT3
ATF1	STAT6
ATF1	TCF3
ATF1	TFCP2
ATF1	TFDP1
ATF1	TGIF2
ATF1	TRIM28
ATF1	YY1
ATF1	ZNF143
ATF2	BACH2
ATF2	CDC5L
ATF2	DLX2
ATF2	EGR2
ATF2	EGR3
ATF2	ERF
ATF2	EVX1
ATF2	FOXD3
ATF2	FOXP1
ATF2	GATA2
ATF2	GLI1
ATF2	GTF2A1
ATF2	HLF
ATF2	HOXC10
ATF2	ING4
ATF2	IRX5
ATF2	JUND
ATF2	KLF11
ATF2	MAF
ATF2	MAFF
ATF2	MYC
ATF2	NF1
ATF2	NR4A2
ATF2	NR6A1
ATF2	PPARD
ATF2	RELB
ATF2	RFX1
ATF2	SREBF1
ATF2	STAT3
ATF2	TBX5
ATF2	TFCP2
ATF2	TRIM28
ATF2	YY1
ATF2	ZNF143
ATF3	BACH2
ATF3	BCL6
ATF3	BDP1
ATF3	CDC5L
ATF3	DLX4
ATF3	FOXD3
ATF3	FOXF1
ATF3	FOXO4
ATF3	FOXP1
ATF3	GATA2
ATF3	GLI1
ATF3	HLF
ATF3	HOXC10
ATF3	ING4
ATF3	IRX5
ATF3	JUN
ATF3	JUND
ATF3	KLF11
ATF3	MAF
ATF3	MAFF
ATF3	MYC
ATF3	NF1
ATF3	NR6A1
ATF3	PPARD
ATF3	RELB
ATF3	RFX1
ATF3	SREBF1
ATF3	STAT3
ATF3	TFCP2
ATF3	TGIF2
ATF3	TRIM28
ATF3	YY1
ATF4	BACH2
ATF4	CDC5L
ATF4	CEBPB
ATF4	CTCF
ATF4	CUX1
ATF4	FOXD3
ATF4	FOXJ3
ATF4	FOXO3
ATF4	FOXP1
ATF4	GATA2
ATF4	GLI1
ATF4	GZF1
ATF4	HLF
ATF4	HOXC10
ATF4	ING4
ATF4	IRF4
ATF4	IRX5
ATF4	JUN
ATF4	JUNB
ATF4	KLF11
ATF4	KLF12
ATF4	KLF15
ATF4	KLF4
ATF4	MAF
ATF4	MAFB
ATF4	MAFF
ATF4	MAFG
ATF4	MYC
ATF4	MZF1
ATF4	NF1
ATF4	NFIB
ATF4	NR1H2
ATF4	NR4A2
ATF4	NR6A1
ATF4	RB1
ATF4	RELB
ATF4	REST
ATF4	RFX1
ATF4	SMAD1
ATF4	SREBF1
ATF4	SREBF2
ATF4	STAT3
ATF4	STAT4
ATF4	TCF3
ATF4	TFCP2
ATF4	TGIF2
ATF4	TRIM28
ATF4	YY1
ATF5	BACH2
ATF5	CDC5L
ATF5	DLX3
ATF5	ETS2
ATF5	FGF9
ATF5	FOXD3
ATF5	FOXO3
ATF5	GATA2
ATF5	GLI1
ATF5	HLF
ATF5	HOXA1
ATF5	HOXA2
ATF5	HOXA3
ATF5	HOXB5
ATF5	HOXC10
ATF5	ING4
ATF5	IRX5
ATF5	ISL1
ATF5	KLF11
ATF5	KLF12
ATF5	MAF
ATF5	MAFF
ATF5	MEIS2
ATF5	MYC
ATF5	NF1
ATF5	NFIB
ATF5	NKX2-1
ATF5	NR2C2
ATF5	NR2F1
ATF5	NR6A1
ATF5	OAZ1
ATF5	RELB
ATF5	RFX1
ATF5	RFX5
ATF5	SREBF1
ATF5	STAT3
ATF5	TFCP2
ATF5	TP63
ATF5	TRIM28
ATF5	YY1
ATF6	BACH2
ATF6	CDC5L
ATF6	FOXD3
ATF6	GATA2
ATF6	GLI1
ATF6	HLF
ATF6	HOXC10
ATF6	ING4
ATF6	IRX5
ATF6	KLF11
ATF6	MAF
ATF6	MAFF
ATF6	MYC
ATF6	NF1
ATF6	NR6A1
ATF6	RELB
ATF6	RFX1
ATF6	SREBF1
ATF6	STAT3
ATF6	TFCP2
ATF6	TRIM28
ATF6	YY1
ATF7	BACH2
ATF7	CDC5L
ATF7	FOXD3
ATF7	GATA2
ATF7	GLI1
ATF7	HLF
ATF7	HOXC10
ATF7	ING4
ATF7	IRX5
ATF7	KLF11
ATF7	MAF
ATF7	MAFF
ATF7	MYC
ATF7	NF1
ATF7	NR6A1
ATF7	RELB
ATF7	RFX1
ATF7	SREBF1
ATF7	STAT3
ATF7	TFCP2
ATF7	TRIM28
ATF7	YY1
ATOH1	ARNT
ATOH1	BACH1
ATOH1	BARHL1
ATOH1	BRCA1
ATOH1	CEBPD
ATOH1	CEBPE
ATOH1	DLX2
ATOH1	ESR2
ATOH1	FOXL1
ATOH1	GATA2
ATOH1	GATA6
ATOH1	HOXA5
ATOH1	HOXA6
ATOH1	HOXB5
ATOH1	JUND
ATOH1	KLF12
ATOH1	KLF4
ATOH1	LHX8
ATOH1	LMX1B
ATOH1	MEF2A
ATOH1	NFIL3
ATOH1	NFKB1
ATOH1	NR2E3
ATOH1	NR6A1
ATOH1	PATZ1
ATOH1	RARA
ATOH1	RUNX3
ATOH1	SOX4
ATOH1	SREBF1
ATOH1	SREBF2
ATOH1	SRF
ATOH1	TFAP2A
ATOH1	TFAP4
ATOH1	TGIF1
ATOH1	TP73
ATOH1	ZIC1
ATOH1	ZIC2
BACH1	BACH1
BACH1	DDIT3
BACH1	DLX1
BACH1	FOXN1
BACH1	GLIS3
BACH1	GTF2A1
BACH1	IRF1
BACH1	KLF4
BACH1	MAFG
BACH2	BACH1
BACH2	DDIT3
BACH2	DLX1
BACH2	FOXN1
BACH2	GLIS3
BACH2	GTF2A1
BACH2	IRF1
BACH2	KLF4
BACH2	MAFG
BACH2	NFIL3
BACH2	NFKB2
BACH2	NR4A1
BACH2	VDR
BACH2	XBP1
BARHL1	CNOT3
BARHL1	HMGA2
BARHL1	NR2F2
BARHL1	SP1
BARHL2	CNOT3
BARHL2	HMGA2
BARHL2	MEIS1
BARX1	MAF
BARX2	TGIF1
BCL6	ARID5B
BCL6	ATF6
BCL6	BCL6
BCL6	DLX5
