Input	Match type	Approved symbol	Approved name	HGNC ID	Location
AHR	Approved symbol	AHR	aryl hydrocarbon receptor	HGNC:348	7p15
AIRE	Approved symbol	AIRE	autoimmune regulator	HGNC:360	21q22.3
ALX1	Approved symbol	ALX1	ALX homeobox 1	HGNC:1494	12q21.31
ALX3	Approved symbol	ALX3	ALX homeobox 3	HGNC:449	1p13.3
ALX4	Approved symbol	ALX4	ALX homeobox 4	HGNC:450	11p11.2
AR	Approved symbol	AR	androgen receptor	HGNC:644	Xq12
ARID3A	Approved symbol	ARID3A	AT rich interactive domain 3A (BRIGHT-like)	HGNC:3031	19p13.3
ARID5B	Approved symbol	ARID5B	AT rich interactive domain 5B (MRF1-like)	HGNC:17362	10q11.22
ARNT	Approved symbol	ARNT	aryl hydrocarbon receptor nuclear translocator	HGNC:700	1q21
ARNT2	Approved symbol	ARNT2	aryl-hydrocarbon receptor nuclear translocator 2	HGNC:16876	15q25.1
ARNTL2	Approved symbol	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	HGNC:18984	12p12.2-p11.2
ARX	Approved symbol	ARX	aristaless related homeobox	HGNC:18060	Xp21.3
ATF1	Approved symbol	ATF1	activating transcription factor 1	HGNC:783	12q13
ATF2	Approved symbol	ATF2	activating transcription factor 2	HGNC:784	2q32
ATF3	Approved symbol	ATF3	activating transcription factor 3	HGNC:785	1q32.3
ATF4	Approved symbol	ATF4	activating transcription factor 4	HGNC:786	22q13.1
ATF5	Approved symbol	ATF5	activating transcription factor 5	HGNC:790	19q13.33
ATF6	Approved symbol	ATF6	activating transcription factor 6	HGNC:791	1q22-q23
ATF7	Approved symbol	ATF7	activating transcription factor 7	HGNC:792	12q13
ATOH1	Approved symbol	ATOH1	atonal homolog 1 (Drosophila)	HGNC:797	4q22
BACH1	Approved symbol	BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	HGNC:935	21q22.1
BACH2	Approved symbol	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	HGNC:14078	6q15
BARHL1	Approved symbol	BARHL1	BarH-like homeobox 1	HGNC:953	9q34.13
BARHL2	Approved symbol	BARHL2	BarH-like homeobox 2	HGNC:954	1p22.2
BARX1	Approved symbol	BARX1	BARX homeobox 1	HGNC:955	9q22.32
BARX2	Approved symbol	BARX2	BARX homeobox 2	HGNC:956	11q24.3
BCL6	Approved symbol	BCL6	B-cell CLL/lymphoma 6	HGNC:1001	3q27
BDP1	Approved symbol	BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	HGNC:13652	5q12-q13
BHLHE40	Approved symbol	BHLHE40	basic helix-loop-helix family, member e40	HGNC:1046	3p26
BHLHE41	Approved symbol	BHLHE41	basic helix-loop-helix family, member e41	HGNC:16617	12p12.1
BPTF	Approved symbol	BPTF	bromodomain PHD finger transcription factor	HGNC:3581	17q24
BRCA1	Approved symbol	BRCA1	breast cancer 1, early onset	HGNC:1100	17q21.31
BRF1	Approved symbol	BRF1	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit	HGNC:11551	14q32.33
CBFB	Approved symbol	CBFB	core-binding factor, beta subunit	HGNC:1539	16q22.1
CDC5L	Approved symbol	CDC5L	cell division cycle 5-like	HGNC:1743	6p21.1
CDX1	Approved symbol	CDX1	caudal type homeobox 1	HGNC:1805	5q32
CDX2	Approved symbol	CDX2	caudal type homeobox 2	HGNC:1806	13q12.2
CEBPA	Approved symbol	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	HGNC:1833	19q13.1
CEBPB	Approved symbol	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	HGNC:1834	20q13.1
CEBPD	Approved symbol	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	HGNC:1835	8p11.2-p11.1
CEBPE	Approved symbol	CEBPE	CCAAT/enhancer binding protein (C/EBP), epsilon	HGNC:1836	14q11.2
CEBPG	Approved symbol	CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma	HGNC:1837	19q13.2
CHURC1	Approved symbol	CHURC1	churchill domain containing 1	HGNC:20099	14q23.3
CIZ1	Approved symbol	CIZ1	CDKN1A interacting zinc finger protein 1	HGNC:16744	9q34.1
CNOT3	Approved symbol	CNOT3	CCR4-NOT transcription complex, subunit 3	HGNC:7879	19q13.4
CREB1	Approved symbol	CREB1	cAMP responsive element binding protein 1	HGNC:2345	2q34
